src,dst,type,weight
com.acmeair.service.FlightService,com.acmeair.entities.FlightSegment,FIELD,1
com.acmeair.service.FlightService,com.acmeair.entities.Flight,FIELD,2
com.acmeair.service.FlightService,com.acmeair.entities.FlightSegment,CALL,2
com.acmeair.service.CustomerService,com.acmeair.service.KeyGenerator,FIELD,1
com.acmeair.service.CustomerService,com.acmeair.entities.Customer,CALL,3
com.acmeair.service.CustomerService,com.acmeair.entities.CustomerSession,CALL,1
com.acmeair.service.CustomerService,com.acmeair.service.KeyGenerator,CALL,1
com.acmeair.wxs.utils.WXSSessionManager,com.acmeair.service.TransactionService,IMPLEMENTS,1
com.acmeair.wxs.utils.WXSSessionManager,com.acmeair.wxs.WXSConstants,IMPLEMENTS,1
com.acmeair.wxs.service.CustomerServiceImpl,com.acmeair.service.CustomerService,EXTENDS,1
com.acmeair.wxs.service.CustomerServiceImpl,com.acmeair.wxs.WXSConstants,IMPLEMENTS,1
com.acmeair.wxs.service.CustomerServiceImpl,com.acmeair.service.KeyGenerator,FIELD,1
com.acmeair.wxs.service.CustomerServiceImpl,com.acmeair.wxs.utils.WXSSessionManager,CALL,6
com.acmeair.wxs.service.CustomerServiceImpl,com.acmeair.entities.Customer,CALL,2
com.acmeair.wxs.service.CustomerServiceImpl,com.acmeair.entities.CustomerSession,CALL,2
com.acmeair.wxs.service.CustomerServiceImpl,com.acmeair.wxs.entities.CustomerImpl,CALL,1
com.acmeair.wxs.service.CustomerServiceImpl,com.acmeair.wxs.entities.CustomerAddressImpl,CALL,1
com.acmeair.wxs.service.CustomerServiceImpl,com.acmeair.wxs.entities.CustomerSessionImpl,CALL,1
com.acmeair.wxs.service.BookingServiceImpl,com.acmeair.service.BookingService,IMPLEMENTS,1
com.acmeair.wxs.service.BookingServiceImpl,com.acmeair.wxs.WXSConstants,IMPLEMENTS,1
com.acmeair.wxs.service.BookingServiceImpl,com.acmeair.service.KeyGenerator,FIELD,1
com.acmeair.wxs.service.BookingServiceImpl,com.acmeair.service.FlightService,FIELD,1
com.acmeair.wxs.service.BookingServiceImpl,com.acmeair.service.CustomerService,FIELD,1
com.acmeair.wxs.service.BookingServiceImpl,com.acmeair.service.ServiceLocator,CALL,4
com.acmeair.wxs.service.BookingServiceImpl,com.acmeair.wxs.utils.WXSSessionManager,CALL,4
com.acmeair.wxs.service.BookingServiceImpl,com.acmeair.service.FlightService,CALL,1
com.acmeair.wxs.service.BookingServiceImpl,com.acmeair.wxs.entities.FlightPKImpl,CALL,3
com.acmeair.wxs.service.BookingServiceImpl,com.acmeair.service.CustomerService,CALL,1
com.acmeair.wxs.service.BookingServiceImpl,com.acmeair.service.KeyGenerator,CALL,1
com.acmeair.wxs.service.BookingServiceImpl,com.acmeair.wxs.entities.BookingImpl,CALL,4
com.acmeair.wxs.service.BookingServiceImpl,com.acmeair.wxs.entities.BookingPKImpl,CALL,3
com.acmeair.wxs.service.FlightServiceImpl,com.acmeair.service.FlightService,EXTENDS,1
com.acmeair.wxs.service.FlightServiceImpl,com.acmeair.wxs.WXSConstants,IMPLEMENTS,1
com.acmeair.wxs.service.FlightServiceImpl,com.acmeair.service.KeyGenerator,FIELD,1
com.acmeair.wxs.service.FlightServiceImpl,com.acmeair.wxs.utils.WXSSessionManager,CALL,8
com.acmeair.wxs.service.FlightServiceImpl,com.acmeair.wxs.entities.FlightImpl,CALL,2
com.acmeair.wxs.service.FlightServiceImpl,com.acmeair.entities.FlightSegment,CALL,4
com.acmeair.wxs.service.FlightServiceImpl,com.acmeair.entities.Flight,CALL,3
com.acmeair.wxs.service.FlightServiceImpl,com.acmeair.entities.AirportCodeMapping,CALL,1
com.acmeair.wxs.service.FlightServiceImpl,com.acmeair.service.KeyGenerator,CALL,1
com.acmeair.wxs.service.FlightServiceImpl,com.acmeair.wxs.entities.FlightSegmentImpl,CALL,2
com.acmeair.wxs.service.FlightServiceImpl,com.acmeair.wxs.entities.AirportCodeMappingImpl,CALL,1
com.acmeair.wxs.entities.CustomerSessionImpl,com.acmeair.entities.CustomerSession,IMPLEMENTS,1
com.acmeair.wxs.entities.BookingImpl,com.acmeair.entities.Booking,IMPLEMENTS,1
com.acmeair.wxs.entities.BookingImpl,com.acmeair.wxs.entities.BookingPKImpl,FIELD,1
com.acmeair.wxs.entities.BookingImpl,com.acmeair.wxs.entities.FlightPKImpl,FIELD,1
com.acmeair.wxs.entities.BookingImpl,com.acmeair.entities.Customer,FIELD,1
com.acmeair.wxs.entities.BookingImpl,com.acmeair.entities.Flight,FIELD,1
com.acmeair.wxs.entities.BookingImpl,com.acmeair.entities.Customer,CALL,1
com.acmeair.wxs.entities.BookingImpl,com.acmeair.wxs.entities.FlightImpl,CALL,1
com.acmeair.wxs.entities.BookingImpl,com.acmeair.wxs.entities.BookingPKImpl,CALL,4
com.acmeair.wxs.entities.BookingImpl,com.acmeair.wxs.entities.FlightPKImpl,CALL,1
com.acmeair.wxs.entities.BookingImpl,com.acmeair.entities.Flight,CALL,1
com.acmeair.wxs.entities.FlightSegmentImpl,com.acmeair.entities.FlightSegment,IMPLEMENTS,1
com.acmeair.wxs.entities.CustomerAddressImpl,com.acmeair.entities.CustomerAddress,IMPLEMENTS,1
com.acmeair.wxs.entities.FlightPKImpl,com.acmeair.entities.FlightPK,IMPLEMENTS,1
com.acmeair.wxs.entities.AirportCodeMappingImpl,com.acmeair.entities.AirportCodeMapping,IMPLEMENTS,1
com.acmeair.wxs.entities.FlightImpl,com.acmeair.entities.Flight,IMPLEMENTS,1
com.acmeair.wxs.entities.FlightImpl,com.acmeair.wxs.entities.FlightPKImpl,FIELD,1
com.acmeair.wxs.entities.FlightImpl,com.acmeair.entities.FlightSegment,FIELD,1
com.acmeair.wxs.entities.FlightImpl,com.acmeair.wxs.entities.FlightPKImpl,CALL,5
