class,method,returnType,parameters
com.acmeair.entities.AirportCodeMapping,getAirportCode,java.lang.String,
com.acmeair.entities.AirportCodeMapping,setAirportCode,void,java.lang.String
com.acmeair.entities.AirportCodeMapping,getAirportName,java.lang.String,
com.acmeair.entities.AirportCodeMapping,setAirportName,void,java.lang.String
com.acmeair.entities.Booking,getBookingId,java.lang.String,
com.acmeair.entities.Booking,getFlightId,java.lang.String,
com.acmeair.entities.Booking,getCustomerId,java.lang.String,
com.acmeair.entities.Booking,getDateOfBooking,java.util.Date,
com.acmeair.entities.Customer,getCustomerId,java.lang.String,
com.acmeair.entities.Customer,getUsername,java.lang.String,
com.acmeair.entities.Customer,setUsername,void,java.lang.String
com.acmeair.entities.Customer,getPassword,java.lang.String,
com.acmeair.entities.Customer,setPassword,void,java.lang.String
com.acmeair.entities.Customer,getStatus,com.acmeair.entities.Customer.MemberShipStatus,
com.acmeair.entities.Customer,setStatus,void,com.acmeair.entities.Customer.MemberShipStatus
com.acmeair.entities.Customer,getTotal_miles,int,
com.acmeair.entities.Customer,getMiles_ytd,int,
com.acmeair.entities.Customer,getPhoneNumber,java.lang.String,
com.acmeair.entities.Customer,setPhoneNumber,void,java.lang.String
com.acmeair.entities.Customer,getPhoneNumberType,com.acmeair.entities.Customer.PhoneType,
com.acmeair.entities.Customer,setPhoneNumberType,void,com.acmeair.entities.Customer.PhoneType
com.acmeair.entities.Customer,getAddress,com.acmeair.entities.CustomerAddress,
com.acmeair.entities.Customer,setAddress,void,com.acmeair.entities.CustomerAddress
com.acmeair.entities.CustomerAddress,getStreetAddress1,java.lang.String,
com.acmeair.entities.CustomerAddress,setStreetAddress1,void,java.lang.String
com.acmeair.entities.CustomerAddress,getStreetAddress2,java.lang.String,
com.acmeair.entities.CustomerAddress,setStreetAddress2,void,java.lang.String
com.acmeair.entities.CustomerAddress,getCity,java.lang.String,
com.acmeair.entities.CustomerAddress,setCity,void,java.lang.String
com.acmeair.entities.CustomerAddress,getStateProvince,java.lang.String,
com.acmeair.entities.CustomerAddress,setStateProvince,void,java.lang.String
com.acmeair.entities.CustomerAddress,getCountry,java.lang.String,
