src,dst,type,weight
com.policynepal.autocare.AutocareApplication,com.policynepal.autocare.user.repository.UserRepository,FIELD,1
com.policynepal.autocare.AutocareApplication,com.policynepal.autocare.user.repository.UserRepository,CALL,1
com.policynepal.autocare.AutocareApplication,com.policynepal.autocare.user.model.Organization,CALL,3
com.policynepal.autocare.AutocareApplication,com.policynepal.autocare.user.model.User.Builder,CALL,6
com.policynepal.autocare.AutocareApplication,com.policynepal.autocare.user.model.User,CALL,1
com.policynepal.autocare.aws.configuration.AwsConfiguration,com.policynepal.autocare.aws.model.AwsCredential,FIELD,1
com.policynepal.autocare.aws.configuration.AwsConfiguration,com.policynepal.autocare.aws.model.AwsCredential,CALL,4
com.policynepal.autocare.aws.configuration.AwsConfiguration,com.policynepal.autocare.aws.model.AwsCredential.S3,CALL,2
com.policynepal.autocare.aws.model.AwsCredential,com.policynepal.autocare.aws.model.AwsCredential.S3,FIELD,1
com.policynepal.autocare.comment.controller.CommentController,com.policynepal.autocare.comment.service.CommentService,FIELD,1
com.policynepal.autocare.comment.controller.CommentController,com.policynepal.autocare.comment.service.CommentService,CALL,4
com.policynepal.autocare.comment.model.DeletedComment,com.policynepal.autocare.comment.model.Comment,FIELD,1
com.policynepal.autocare.comment.service.CommentService,com.policynepal.autocare.utils.AuthenticationUtils,FIELD,1
com.policynepal.autocare.comment.service.CommentService,com.policynepal.autocare.comment.repository.CommentRepository,FIELD,1
com.policynepal.autocare.comment.service.CommentService,com.policynepal.autocare.comment.repository.DeletedCommentRepository,FIELD,1
com.policynepal.autocare.comment.service.CommentService,com.policynepal.autocare.utils.CustomBeanUtils,CALL,2
com.policynepal.autocare.comment.service.CommentService,com.policynepal.autocare.comment.model.Comment,CALL,4
com.policynepal.autocare.comment.service.CommentService,com.policynepal.autocare.utils.AuthenticationUtils,CALL,3
com.policynepal.autocare.comment.service.CommentService,com.policynepal.autocare.common.dto.PageDto,CALL,1
com.policynepal.autocare.comment.service.CommentService,com.policynepal.autocare.comment.model.DeletedComment,CALL,1
com.policynepal.autocare.exceptionhandler.GlobalExceptionHandler,com.policynepal.autocare.exceptionhandler.GlobalException,CALL,4
com.policynepal.autocare.security.AuthorizationServerConfiguration,com.policynepal.autocare.security.CustomUserDetailsService,FIELD,1
com.policynepal.autocare.security.AuthorizationServerConfiguration,com.policynepal.autocare.security.CustomTokenEnhancer,FIELD,1
com.policynepal.autocare.security.CustomTokenEnhancer,com.policynepal.autocare.user.repository.UserRepository,FIELD,1
com.policynepal.autocare.security.CustomTokenEnhancer,com.policynepal.autocare.user.model.User,CALL,1
