srcClass,srcMethod,dstClass,dstMethod
com.policynepal.autocare.AutocareApplication,run,com.policynepal.autocare.user.model.Organization,<init>
com.policynepal.autocare.AutocareApplication,run,com.policynepal.autocare.user.model.Organization,setDescription
com.policynepal.autocare.AutocareApplication,run,com.policynepal.autocare.user.model.Organization,setName
com.policynepal.autocare.AutocareApplication,run,com.policynepal.autocare.user.model.User,builder
com.policynepal.autocare.AutocareApplication,run,com.policynepal.autocare.user.model.User.Builder,active
com.policynepal.autocare.AutocareApplication,run,com.policynepal.autocare.user.model.User.Builder,address
com.policynepal.autocare.AutocareApplication,run,com.policynepal.autocare.user.model.User.Builder,email
com.policynepal.autocare.AutocareApplication,run,com.policynepal.autocare.user.model.User.Builder,firstname
com.policynepal.autocare.AutocareApplication,run,com.policynepal.autocare.user.model.User.Builder,lastname
com.policynepal.autocare.AutocareApplication,run,com.policynepal.autocare.user.model.User.Builder,username
com.policynepal.autocare.AutocareApplication,run,com.policynepal.autocare.user.repository.UserRepository,findByUsername
com.policynepal.autocare.aws.configuration.AwsConfiguration,getAmazonS3Client,com.policynepal.autocare.aws.model.AwsCredential,getS3
com.policynepal.autocare.aws.configuration.AwsConfiguration,getAmazonS3Client,com.policynepal.autocare.aws.model.AwsCredential.S3,getBaseUrl
com.policynepal.autocare.aws.configuration.AwsConfiguration,getAmazonS3Client,com.policynepal.autocare.aws.model.AwsCredential.S3,getRegion
com.policynepal.autocare.aws.configuration.AwsConfiguration,getAwsCredentials,com.policynepal.autocare.aws.model.AwsCredential,getAccessKey
com.policynepal.autocare.aws.configuration.AwsConfiguration,getAwsCredentials,com.policynepal.autocare.aws.model.AwsCredential,getAccessSecret
com.policynepal.autocare.comment.controller.CommentController,addComment,com.policynepal.autocare.comment.service.CommentService,addComment
com.policynepal.autocare.comment.controller.CommentController,deleteComment,com.policynepal.autocare.comment.service.CommentService,deleteComment
com.policynepal.autocare.comment.controller.CommentController,getCommentsWithPaging,com.policynepal.autocare.comment.service.CommentService,findCommentsWithPaging
com.policynepal.autocare.comment.controller.CommentController,updateComment,com.policynepal.autocare.comment.service.CommentService,updateComment
com.policynepal.autocare.comment.service.CommentService,addComment,com.policynepal.autocare.comment.model.Comment,<init>
com.policynepal.autocare.comment.service.CommentService,addComment,com.policynepal.autocare.comment.model.Comment,setUserId
com.policynepal.autocare.comment.service.CommentService,addComment,com.policynepal.autocare.utils.AuthenticationUtils,getUserId
com.policynepal.autocare.comment.service.CommentService,addComment,com.policynepal.autocare.utils.CustomBeanUtils,copyNonNullProperties
com.policynepal.autocare.comment.service.CommentService,deleteComment,com.policynepal.autocare.comment.model.Comment,getUserId
com.policynepal.autocare.comment.service.CommentService,deleteComment,com.policynepal.autocare.comment.model.DeletedComment,<init>
com.policynepal.autocare.comment.service.CommentService,deleteComment,com.policynepal.autocare.utils.AuthenticationUtils,getUserId
com.policynepal.autocare.comment.service.CommentService,findCommentsWithPaging,com.policynepal.autocare.common.dto.PageDto,<init>
com.policynepal.autocare.comment.service.CommentService,updateComment,com.policynepal.autocare.utils.AuthenticationUtils,getUserId
com.policynepal.autocare.comment.service.CommentService,updateComment,com.policynepal.autocare.utils.CustomBeanUtils,copyNonNullProperties
com.policynepal.autocare.comment.service.CommentService,validateCommentOwner,com.policynepal.autocare.comment.model.Comment,getUserId
com.policynepal.autocare.exceptionhandler.GlobalExceptionHandler,handleIOException,com.policynepal.autocare.exceptionhandler.GlobalException,getMessage
com.policynepal.autocare.exceptionhandler.GlobalExceptionHandler,handleIOException,com.policynepal.autocare.exceptionhandler.GlobalException,getStatus
com.policynepal.autocare.security.CustomTokenEnhancer,enhance,com.policynepal.autocare.user.model.User,getId
com.policynepal.autocare.security.CustomUserDetailsService,loadUserByUsername,com.policynepal.autocare.user.model.User,getPassword
com.policynepal.autocare.security.CustomUserDetailsService,loadUserByUsername,com.policynepal.autocare.user.model.User,getRoles
com.policynepal.autocare.security.CustomUserDetailsService,loadUserByUsername,com.policynepal.autocare.user.model.User,getUsername
com.policynepal.autocare.security.CustomUserDetailsService,loadUserByUsername,com.policynepal.autocare.user.repository.UserRepository,findByUsername
com.policynepal.autocare.user.controller.UserController,addNormalUser,com.policynepal.autocare.user.service.UserService,addUser
com.policynepal.autocare.user.controller.UserController,addUser,com.policynepal.autocare.user.service.UserService,addUser
com.policynepal.autocare.user.controller.UserController,deleteUser,com.policynepal.autocare.user.service.UserService,deleteUser
com.policynepal.autocare.user.controller.UserController,getAllUsers,com.policynepal.autocare.user.service.UserService,findAll
com.policynepal.autocare.user.controller.UserController,getUser,com.policynepal.autocare.user.service.UserService,getUser
com.policynepal.autocare.user.controller.UserController,updateUser,com.policynepal.autocare.user.service.UserService,updateUser
com.policynepal.autocare.user.model.User,builder,com.policynepal.autocare.user.model.User.Builder,<init>
com.policynepal.autocare.user.model.User.Builder,build,com.policynepal.autocare.user.model.User,<init>
com.policynepal.autocare.user.service.UserService,addUser,com.policynepal.autocare.user.dto.UserDto,getUsername
com.policynepal.autocare.user.service.UserService,addUser,com.policynepal.autocare.user.model.User,<init>
com.policynepal.autocare.user.service.UserService,addUser,com.policynepal.autocare.user.model.User,getPassword
com.policynepal.autocare.user.service.UserService,addUser,com.policynepal.autocare.utils.CustomBeanUtils,copyNonNullProperties
com.policynepal.autocare.user.service.UserService,deleteUser,com.policynepal.autocare.user.model.DeletedUser,<init>
com.policynepal.autocare.user.service.UserService,findByUsername,com.policynepal.autocare.user.repository.UserRepository,findByUsername
com.policynepal.autocare.user.service.UserService,updateUser,com.policynepal.autocare.user.dto.UserDto,getUsername
com.policynepal.autocare.user.service.UserService,updateUser,com.policynepal.autocare.utils.CustomBeanUtils,copyNonNullProperties
com.policynepal.autocare.user.service.UserService,validateIfUsernameExists,com.policynepal.autocare.user.repository.UserRepository,findByUsername
com.policynepal.autocare.user.service.UserService,validateIfUsernameExists,com.policynepal.autocare.user.repository.UserRepository,findByUsernameAndIdNot
com.policynepal.autocare.utils.AuthenticationUtils,getUserId,com.policynepal.autocare.user.model.User,getId
com.policynepal.autocare.utils.AuthenticationUtils,getUsername,com.policynepal.autocare.user.model.User,getUsername
com.policynepal.autocare.vehicle.controller.VehicleController,addVehicle,com.policynepal.autocare.vehicle.service.VehicleService,addVehicle
com.policynepal.autocare.vehicle.controller.VehicleController,deleteImage,com.policynepal.autocare.vehicle.service.VehicleService,deleteVehicleImage
com.policynepal.autocare.vehicle.controller.VehicleController,deleteVehicle,com.policynepal.autocare.vehicle.service.VehicleService,deleteVehicle
com.policynepal.autocare.vehicle.controller.VehicleController,getVehiclesWithPaging,com.policynepal.autocare.vehicle.service.VehicleService,findVehiclesWithPaging
com.policynepal.autocare.vehicle.controller.VehicleController,searchVehiclesWithFilterAndPaging,com.policynepal.autocare.vehicle.service.VehicleService,searchVehiclesWithFilterAndPaging
com.policynepal.autocare.vehicle.controller.VehicleController,updateVehicle,com.policynepal.autocare.vehicle.service.VehicleService,updateVehicle
com.policynepal.autocare.vehicle.repository.CustomVehicleRepositoryImpl,getLocationSearchCriteria,com.policynepal.autocare.vehicle.dto.SearchVehiclesDto.LocationDetails,getDistance
com.policynepal.autocare.vehicle.repository.CustomVehicleRepositoryImpl,getLocationSearchCriteria,com.policynepal.autocare.vehicle.dto.SearchVehiclesDto.LocationDetails,getLocation
com.policynepal.autocare.vehicle.repository.CustomVehicleRepositoryImpl,searchVehiclesWithFilterAndPaging,com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,getBrands
com.policynepal.autocare.vehicle.repository.CustomVehicleRepositoryImpl,searchVehiclesWithFilterAndPaging,com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,getCondition
com.policynepal.autocare.vehicle.repository.CustomVehicleRepositoryImpl,searchVehiclesWithFilterAndPaging,com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,getLocationDetails
com.policynepal.autocare.vehicle.repository.CustomVehicleRepositoryImpl,searchVehiclesWithFilterAndPaging,com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,getMaxPrice
com.policynepal.autocare.vehicle.repository.CustomVehicleRepositoryImpl,searchVehiclesWithFilterAndPaging,com.policynepal.autocare.vehicle.dto.SearchVehiclesDto,getMinPrice
com.policynepal.autocare.vehicle.service.VehicleService,addVehicle,com.policynepal.autocare.utils.AuthenticationUtils,getUserId
com.policynepal.autocare.vehicle.service.VehicleService,addVehicle,com.policynepal.autocare.utils.CustomBeanUtils,copyNonNullProperties
com.policynepal.autocare.vehicle.service.VehicleService,addVehicle,com.policynepal.autocare.vehicle.model.Vehicle,<init>
com.policynepal.autocare.vehicle.service.VehicleService,addVehicle,com.policynepal.autocare.vehicle.model.Vehicle,setUserId
com.policynepal.autocare.vehicle.service.VehicleService,deleteVehicle,com.policynepal.autocare.utils.AuthenticationUtils,getUserId
com.policynepal.autocare.vehicle.service.VehicleService,deleteVehicle,com.policynepal.autocare.vehicle.model.DeletedVehicle,<init>
com.policynepal.autocare.vehicle.service.VehicleService,deleteVehicle,com.policynepal.autocare.vehicle.model.Vehicle,getUserId
com.policynepal.autocare.vehicle.service.VehicleService,deleteVehicleImage,com.policynepal.autocare.vehicle.model.Vehicle,getImages
com.policynepal.autocare.vehicle.service.VehicleService,deleteVehicleImage,com.policynepal.autocare.vehicle.model.Vehicle,setImages
com.policynepal.autocare.vehicle.service.VehicleService,deleteVehicleImage,com.policynepal.autocare.vehicle.model.VehicleImage,getImageId
com.policynepal.autocare.vehicle.service.VehicleService,findVehiclesWithPaging,com.policynepal.autocare.common.dto.PageDto,<init>
com.policynepal.autocare.vehicle.service.VehicleService,searchVehiclesWithFilterAndPaging,com.policynepal.autocare.common.dto.PageDto,<init>
com.policynepal.autocare.vehicle.service.VehicleService,updateVehicle,com.policynepal.autocare.utils.AuthenticationUtils,getUserId
com.policynepal.autocare.vehicle.service.VehicleService,updateVehicle,com.policynepal.autocare.utils.CustomBeanUtils,copyNonNullProperties
com.policynepal.autocare.vehicle.service.VehicleService,uploadImage,com.policynepal.autocare.aws.model.AwsCredential,getS3
com.policynepal.autocare.vehicle.service.VehicleService,uploadImage,com.policynepal.autocare.aws.model.AwsCredential.S3,getBucketName
com.policynepal.autocare.vehicle.service.VehicleService,uploadImage,com.policynepal.autocare.vehicle.model.Vehicle,getImages
com.policynepal.autocare.vehicle.service.VehicleService,uploadImage,com.policynepal.autocare.vehicle.model.Vehicle,setImages
com.policynepal.autocare.vehicle.service.VehicleService,uploadImage,com.policynepal.autocare.vehicle.model.VehicleImage,<init>
com.policynepal.autocare.vehicle.service.VehicleService,validateVehicleOwner,com.policynepal.autocare.vehicle.model.Vehicle,getUserId
