class,method,returnType,parameters
com.policynepal.autocare.AutocareApplication,main,void,java.lang.String[]
com.policynepal.autocare.AutocareApplication,run,void,java.lang.String
com.policynepal.autocare.aws.configuration.AwsConfiguration,getAwsCredentials,AWSCredentials,
com.policynepal.autocare.aws.configuration.AwsConfiguration,getAmazonS3Client,AmazonS3Client,
com.policynepal.autocare.aws.model.AwsCredential,getAccessKey,java.lang.String,
com.policynepal.autocare.aws.model.AwsCredential,setAccessKey,void,java.lang.String
com.policynepal.autocare.aws.model.AwsCredential,getAccessSecret,java.lang.String,
com.policynepal.autocare.aws.model.AwsCredential,setAccessSecret,void,java.lang.String
com.policynepal.autocare.aws.model.AwsCredential,getS3,com.policynepal.autocare.aws.model.AwsCredential.S3,
com.policynepal.autocare.aws.model.AwsCredential,setS3,void,com.policynepal.autocare.aws.model.AwsCredential.S3
com.policynepal.autocare.aws.model.AwsCredential,getBaseUrl,java.lang.String,
com.policynepal.autocare.aws.model.AwsCredential,setBaseUrl,void,java.lang.String
com.policynepal.autocare.aws.model.AwsCredential,getRegion,java.lang.String,
com.policynepal.autocare.aws.model.AwsCredential,setRegion,void,java.lang.String
com.policynepal.autocare.aws.model.AwsCredential,getBucketName,java.lang.String,
com.policynepal.autocare.aws.model.AwsCredential,setBucketName,void,java.lang.String
com.policynepal.autocare.aws.model.AwsCredential.S3,getBaseUrl,java.lang.String,
com.policynepal.autocare.aws.model.AwsCredential.S3,setBaseUrl,void,java.lang.String
com.policynepal.autocare.aws.model.AwsCredential.S3,getRegion,java.lang.String,
com.policynepal.autocare.aws.model.AwsCredential.S3,setRegion,void,java.lang.String
com.policynepal.autocare.aws.model.AwsCredential.S3,getBucketName,java.lang.String,
com.policynepal.autocare.aws.model.AwsCredential.S3,setBucketName,void,java.lang.String
com.policynepal.autocare.aws.service.S3Service,createFolder,void,AmazonS3Client;java.lang.String;java.lang.String
com.policynepal.autocare.aws.service.S3Service,uploadFileInS3,void,AmazonS3Client;java.lang.String;java.lang.String;java.io.File
com.policynepal.autocare.aws.service.S3Service,deleteFileInS3,void,AmazonS3Client;java.lang.String;java.lang.String
com.policynepal.autocare.aws.service.S3Service,getFileUrl,java.lang.String,AmazonS3Client;java.lang.String;java.lang.String
com.policynepal.autocare.comment.controller.CommentController,addComment,com.policynepal.autocare.comment.model.Comment,com.policynepal.autocare.comment.dto.CommentDto
com.policynepal.autocare.comment.controller.CommentController,updateComment,com.policynepal.autocare.comment.model.Comment,java.lang.String;com.policynepal.autocare.comment.dto.CommentDto
com.policynepal.autocare.comment.controller.CommentController,getCommentsWithPaging,com.policynepal.autocare.common.dto.PageDto,java.lang.String;java.lang.Integer;java.lang.Integer
com.policynepal.autocare.comment.controller.CommentController,deleteComment,java.util.Map<java.lang.String, java.lang.Boolean>,java.lang.String
com.policynepal.autocare.comment.dto.CommentDto,getVehicleId,java.lang.String,
com.policynepal.autocare.comment.dto.CommentDto,setVehicleId,void,java.lang.String
com.policynepal.autocare.comment.dto.CommentDto,getBody,java.lang.String,
com.policynepal.autocare.comment.dto.CommentDto,setBody,void,java.lang.String
com.policynepal.autocare.comment.model.Comment,getId,java.lang.String,
com.policynepal.autocare.comment.model.Comment,setId,void,java.lang.String
com.policynepal.autocare.comment.model.Comment,getUserId,java.lang.String,
com.policynepal.autocare.comment.model.Comment,setUserId,void,java.lang.String
com.policynepal.autocare.comment.model.Comment,getVehicleId,java.lang.String,
com.policynepal.autocare.comment.model.Comment,setVehicleId,void,java.lang.String
com.policynepal.autocare.comment.model.Comment,getBody,java.lang.String,
com.policynepal.autocare.comment.model.Comment,setBody,void,java.lang.String
com.policynepal.autocare.comment.model.Comment,getCreatedDate,java.util.Date,
com.policynepal.autocare.comment.model.Comment,getModifiedDate,java.util.Date,
com.policynepal.autocare.comment.model.Comment,toString,java.lang.String,
com.policynepal.autocare.comment.model.DeletedComment,getId,java.lang.String,
com.policynepal.autocare.comment.model.DeletedComment,setId,void,java.lang.String
com.policynepal.autocare.comment.model.DeletedComment,getComment,com.policynepal.autocare.comment.model.Comment,
com.policynepal.autocare.comment.model.DeletedComment,setComment,void,com.policynepal.autocare.comment.model.Comment
com.policynepal.autocare.comment.repository.CommentRepository,findByVehicleId,Page<Comment>,java.lang.String;PageRequest
com.policynepal.autocare.comment.service.CommentService,addComment,com.policynepal.autocare.comment.model.Comment,com.policynepal.autocare.comment.dto.CommentDto
com.policynepal.autocare.comment.service.CommentService,updateComment,com.policynepal.autocare.comment.model.Comment,java.lang.String;com.policynepal.autocare.comment.dto.CommentDto
com.policynepal.autocare.comment.service.CommentService,validateCommentOwner,com.policynepal.autocare.comment.model.Comment,java.lang.String;com.policynepal.autocare.comment.model.Comment
com.policynepal.autocare.comment.service.CommentService,findCommentsWithPaging,com.policynepal.autocare.common.dto.PageDto,java.lang.String;java.lang.Integer;java.lang.Integer
com.policynepal.autocare.comment.service.CommentService,deleteComment,void,java.lang.String
com.policynepal.autocare.common.dto.PageDto,getContent,java.util.List<?>,
com.policynepal.autocare.common.dto.PageDto,setContent,void,java.util.List<?>
com.policynepal.autocare.common.dto.PageDto,getPageElementCount,long,
com.policynepal.autocare.common.dto.PageDto,setPageElementCount,void,long
com.policynepal.autocare.common.dto.PageDto,getTotalElements,long,
com.policynepal.autocare.common.dto.PageDto,setTotalElements,void,long
com.policynepal.autocare.common.dto.PageDto,getTotalPages,long,
com.policynepal.autocare.common.dto.PageDto,setTotalPages,void,long
com.policynepal.autocare.exceptionhandler.ErrorResponse,getStatus,int,
com.policynepal.autocare.exceptionhandler.ErrorResponse,setStatus,void,int
com.policynepal.autocare.exceptionhandler.ErrorResponse,getError,java.lang.String,
com.policynepal.autocare.exceptionhandler.ErrorResponse,setError,void,java.lang.String
com.policynepal.autocare.exceptionhandler.ErrorResponse,getMessage,java.lang.String,
com.policynepal.autocare.exceptionhandler.ErrorResponse,setMessage,void,java.lang.String
com.policynepal.autocare.exceptionhandler.GlobalException,getMessage,java.lang.String,
com.policynepal.autocare.exceptionhandler.GlobalException,getStatus,HttpStatus,
com.policynepal.autocare.exceptionhandler.GlobalExceptionHandler,handleIOException,ResponseEntity<Object>,com.policynepal.autocare.exceptionhandler.GlobalException;WebRequest
com.policynepal.autocare.security.AuthorizationServerConfiguration,configure,void,AuthorizationServerSecurityConfigurer
com.policynepal.autocare.security.AuthorizationServerConfiguration,configure,void,ClientDetailsServiceConfigurer
com.policynepal.autocare.security.AuthorizationServerConfiguration,configure,void,AuthorizationServerEndpointsConfigurer
com.policynepal.autocare.security.AuthorizationServerConfiguration,tokenStore,TokenStore,
com.policynepal.autocare.security.CorsFilter,doFilter,void,ServletRequest;ServletResponse;FilterChain
com.policynepal.autocare.security.CustomTokenEnhancer,enhance,OAuth2AccessToken,OAuth2AccessToken;OAuth2Authentication
com.policynepal.autocare.security.CustomUserDetailsService,loadUserByUsername,UserDetails,java.lang.String
com.policynepal.autocare.security.ResourceServerConfiguration,configure,void,ResourceServerSecurityConfigurer
com.policynepal.autocare.security.ResourceServerConfiguration,configure,void,HttpSecurity
com.policynepal.autocare.security.SecurityConfiguration,configure,void,HttpSecurity
com.policynepal.autocare.security.SecurityConfiguration,authenticationManagerBean,AuthenticationManager,
com.policynepal.autocare.security.SecurityConfiguration,passwordEncoder,PasswordEncoder,
com.policynepal.autocare.security.WebConfiguration,addResourceHandlers,void,ResourceHandlerRegistry
com.policynepal.autocare.swagger.SwaggerConfiguration,api,Docket,
com.policynepal.autocare.swagger.SwaggerConfiguration,apiInfo,ApiInfo,
com.policynepal.autocare.system.controller.SystemController,shutdown,void,
com.policynepal.autocare.system.controller.SystemController,testSystem,java.lang.String,
com.policynepal.autocare.user.controller.UserController,getAllUsers,java.util.List<com.policynepal.autocare.user.model.User>,
com.policynepal.autocare.user.controller.UserController,addUser,com.policynepal.autocare.user.model.User,com.policynepal.autocare.user.dto.UserDto
com.policynepal.autocare.user.controller.UserController,updateUser,com.policynepal.autocare.user.model.User,java.lang.String;com.policynepal.autocare.user.dto.UserDto
com.policynepal.autocare.user.controller.UserController,getUser,com.policynepal.autocare.user.model.User,java.lang.String
com.policynepal.autocare.user.controller.UserController,addNormalUser,com.policynepal.autocare.user.model.User,com.policynepal.autocare.user.dto.UserDto
com.policynepal.autocare.user.controller.UserController,deleteUser,java.util.Map<java.lang.String, java.lang.Boolean>,java.lang.String
com.policynepal.autocare.user.dto.UserDto,getFirstname,java.lang.String,
com.policynepal.autocare.user.dto.UserDto,setFirstname,void,java.lang.String
com.policynepal.autocare.user.dto.UserDto,getLastname,java.lang.String,
com.policynepal.autocare.user.dto.UserDto,setLastname,void,java.lang.String
com.policynepal.autocare.user.dto.UserDto,getUsername,java.lang.String,
com.policynepal.autocare.user.dto.UserDto,setUsername,void,java.lang.String
com.policynepal.autocare.user.dto.UserDto,getPassword,java.lang.String,
com.policynepal.autocare.user.dto.UserDto,setPassword,void,java.lang.String
com.policynepal.autocare.user.dto.UserDto,getRoles,java.util.List<java.lang.String>,
com.policynepal.autocare.user.dto.UserDto,setRoles,void,java.util.List<java.lang.String>
com.policynepal.autocare.user.dto.UserDto,getAddress,java.lang.String,
com.policynepal.autocare.user.dto.UserDto,setAddress,void,java.lang.String
