src,dst,type,weight
com.rokin.baylorboard.controller.AwardController,com.rokin.baylorboard.service.AwardService,FIELD,1
com.rokin.baylorboard.controller.AwardController,com.rokin.baylorboard.service.AwardService,CALL,5
com.rokin.baylorboard.controller.EventController,com.rokin.baylorboard.service.EventService,FIELD,1
com.rokin.baylorboard.controller.EventController,com.rokin.baylorboard.service.EventService,CALL,6
com.rokin.baylorboard.controller.GreetingController,com.rokin.baylorboard.domain.MessageBean,CALL,3
com.rokin.baylorboard.controller.TweetController,com.rokin.baylorboard.service.TweetService,FIELD,1
com.rokin.baylorboard.controller.TweetController,com.rokin.baylorboard.service.TweetService,CALL,5
com.rokin.baylorboard.controller.UserController,com.rokin.baylorboard.service.UserService,FIELD,1
com.rokin.baylorboard.controller.UserController,com.rokin.baylorboard.service.UserService,CALL,6
com.rokin.baylorboard.controller.WhitelistUserController,com.rokin.baylorboard.service.WhitelistUserService,FIELD,1
com.rokin.baylorboard.controller.WhitelistUserController,com.rokin.baylorboard.service.WhitelistUserService,CALL,3
com.rokin.baylorboard.domain.Roles,com.rokin.baylorboard.enums.Role,FIELD,1
com.rokin.baylorboard.domain.Tweet,com.rokin.baylorboard.enums.TweetStatus,FIELD,1
com.rokin.baylorboard.domain.User,com.rokin.baylorboard.enums.Role,FIELD,1
com.rokin.baylorboard.service.AwardService,com.rokin.baylorboard.repository.AwardRepository,FIELD,1
com.rokin.baylorboard.service.AwardService,com.rokin.baylorboard.utils.CustomBeanUtils,CALL,1
com.rokin.baylorboard.service.EventService,com.rokin.baylorboard.repository.EventRepository,FIELD,1
com.rokin.baylorboard.service.EventService,com.rokin.baylorboard.utils.CustomBeanUtils,CALL,1
com.rokin.baylorboard.service.TweetService,com.rokin.baylorboard.repository.TweetRepository,FIELD,1
com.rokin.baylorboard.service.TweetService,com.rokin.baylorboard.service.WhitelistUserService,FIELD,1
com.rokin.baylorboard.service.TweetService,com.rokin.baylorboard.controller.GreetingController,FIELD,1
com.rokin.baylorboard.service.TweetService,com.rokin.baylorboard.service.WhitelistUserService,CALL,1
com.rokin.baylorboard.service.UserService,com.rokin.baylorboard.repository.UserRepository,FIELD,1
com.rokin.baylorboard.service.UserService,com.rokin.baylorboard.repository.RoleRepository,FIELD,1
com.rokin.baylorboard.service.UserService,com.rokin.baylorboard.utils.PasswordUtils,CALL,3
com.rokin.baylorboard.service.UserService,com.rokin.baylorboard.utils.CustomBeanUtils,CALL,1
com.rokin.baylorboard.service.UserService,com.rokin.baylorboard.exceptions.BadRequestException,CALL,3
com.rokin.baylorboard.service.WhitelistUserService,com.rokin.baylorboard.repository.WhitelistUserRepository,FIELD,1
