class,method,returnType,parameters
com.rokin.baylorboard.BaylorBoardApplication,main,void,java.lang.String[]
com.rokin.baylorboard.config.KafkaConfig,consumerFactory,ConsumerFactory<String,String>,
com.rokin.baylorboard.config.KafkaConfig,kafkaListenerContainerFactory,ConcurrentKafkaListenerContainerFactory<String,String>,
com.rokin.baylorboard.config.TwitterConfig,getConfigurationBuilder,ConfigurationBuilder,
com.rokin.baylorboard.config.TwitterConfig,getTwitterInstance,Twitter,
com.rokin.baylorboard.config.TwitterConfig,getTwitterStream,TwitterStream,
com.rokin.baylorboard.config.WebConfig,addCorsMappings,void,CorsRegistry
com.rokin.baylorboard.config.WebSocketConfig,registerStompEndpoints,void,StompEndpointRegistry
com.rokin.baylorboard.config.WebSocketConfig,configureMessageBroker,void,MessageBrokerRegistry
com.rokin.baylorboard.controller.AwardController,addAward,com.rokin.baylorboard.domain.Award,com.rokin.baylorboard.domain.Award
com.rokin.baylorboard.controller.AwardController,getAwards,java.util.Map<java.lang.String, java.lang.Object>,java.lang.Integer;java.lang.Integer
com.rokin.baylorboard.controller.AwardController,updateAward,com.rokin.baylorboard.domain.Award,java.lang.String;com.rokin.baylorboard.domain.Award
com.rokin.baylorboard.controller.AwardController,getEvent,com.rokin.baylorboard.domain.Award,java.lang.String
com.rokin.baylorboard.controller.AwardController,deleteEvent,void,java.lang.String
com.rokin.baylorboard.controller.EventController,addEvent,com.rokin.baylorboard.domain.Event,com.rokin.baylorboard.domain.Event
com.rokin.baylorboard.controller.EventController,getEvents,java.util.Map<java.lang.String, java.lang.Object>,java.lang.Integer;java.lang.Integer
com.rokin.baylorboard.controller.EventController,getEventsforslide,java.util.Map<java.lang.String, java.lang.Object>,java.lang.Integer;java.lang.Integer
com.rokin.baylorboard.controller.EventController,updateEvent,com.rokin.baylorboard.domain.Event,java.lang.String;com.rokin.baylorboard.domain.Event
com.rokin.baylorboard.controller.EventController,getEvent,com.rokin.baylorboard.domain.Event,java.lang.String
com.rokin.baylorboard.controller.EventController,deleteEvent,void,java.lang.String
com.rokin.baylorboard.controller.GreetingController,send,com.rokin.baylorboard.domain.MessageBean,com.rokin.baylorboard.domain.MessageBean
com.rokin.baylorboard.controller.GreetingController,fireGreeting,void,com.rokin.baylorboard.domain.MessageBean
com.rokin.baylorboard.controller.GreetingController,sendNews,void,com.rokin.baylorboard.domain.MessageBean
com.rokin.baylorboard.controller.GreetingController,fireGreeting1,void,
com.rokin.baylorboard.controller.TweetController,fetchTweets,java.lang.String,
com.rokin.baylorboard.controller.TweetController,getTweets,java.util.Map<java.lang.String, java.lang.Object>,com.rokin.baylorboard.enums.TweetStatus;java.lang.Integer;java.lang.Integer
com.rokin.baylorboard.controller.TweetController,updateTweetStatus,com.rokin.baylorboard.domain.Tweet,java.lang.String;com.rokin.baylorboard.enums.TweetStatus
com.rokin.baylorboard.controller.TweetController,getById,com.rokin.baylorboard.domain.Tweet,java.lang.String
com.rokin.baylorboard.controller.TweetController,deleteAllTweets,java.lang.String,
com.rokin.baylorboard.controller.UserController,addUsers,com.rokin.baylorboard.domain.User,com.rokin.baylorboard.domain.User
com.rokin.baylorboard.controller.UserController,login,com.rokin.baylorboard.domain.User,com.rokin.baylorboard.domain.User
com.rokin.baylorboard.controller.UserController,allUsers,java.util.List<com.rokin.baylorboard.domain.User>,
com.rokin.baylorboard.controller.UserController,updateUser,com.rokin.baylorboard.domain.User,java.lang.String;com.rokin.baylorboard.domain.User
com.rokin.baylorboard.controller.UserController,getUser,com.rokin.baylorboard.domain.User,java.lang.String
com.rokin.baylorboard.controller.UserController,deleteUser,void,java.lang.String
com.rokin.baylorboard.controller.WhitelistUserController,addWhitelistUser,com.rokin.baylorboard.domain.WhitelistUser,com.rokin.baylorboard.domain.WhitelistUser
com.rokin.baylorboard.controller.WhitelistUserController,getAllWhitelistUsers,java.util.List<com.rokin.baylorboard.domain.WhitelistUser>,
com.rokin.baylorboard.controller.WhitelistUserController,deleteWhitelistUser,void,java.lang.String
com.rokin.baylorboard.domain.MessageBean,getName,java.lang.String,
com.rokin.baylorboard.domain.MessageBean,setName,void,java.lang.String
com.rokin.baylorboard.domain.MessageBean,getMessage,java.lang.String,
com.rokin.baylorboard.domain.MessageBean,setMessage,void,java.lang.String
com.rokin.baylorboard.repository.RoleRepository,findByName,com.rokin.baylorboard.domain.Roles,java.lang.String
com.rokin.baylorboard.repository.TweetRepository,findByStatus,Page<Tweet>,com.rokin.baylorboard.enums.TweetStatus;PageRequest
com.rokin.baylorboard.repository.UserRepository,findByEmailAddress,com.rokin.baylorboard.domain.User,java.lang.String
com.rokin.baylorboard.service.AwardService,add,com.rokin.baylorboard.domain.Award,com.rokin.baylorboard.domain.Award
com.rokin.baylorboard.service.AwardService,findEventsWithPaging,java.util.Map<java.lang.String, java.lang.Object>,java.lang.Integer;java.lang.Integer
com.rokin.baylorboard.service.AwardService,update,com.rokin.baylorboard.domain.Award,java.lang.String;com.rokin.baylorboard.domain.Award
com.rokin.baylorboard.service.AwardService,findById,com.rokin.baylorboard.domain.Award,java.lang.String
com.rokin.baylorboard.service.AwardService,delete,void,java.lang.String
com.rokin.baylorboard.service.EventService,addEvent,com.rokin.baylorboard.domain.Event,com.rokin.baylorboard.domain.Event
com.rokin.baylorboard.service.EventService,findEventsWithPaging,java.util.Map<java.lang.String, java.lang.Object>,java.lang.Integer;java.lang.Integer
com.rokin.baylorboard.service.EventService,updateEvent,com.rokin.baylorboard.domain.Event,java.lang.String;com.rokin.baylorboard.domain.Event
com.rokin.baylorboard.service.EventService,findById,com.rokin.baylorboard.domain.Event,java.lang.String
com.rokin.baylorboard.service.EventService,deleteEvent,void,java.lang.String
com.rokin.baylorboard.service.TweetService,fetchTweets,java.util.List<com.rokin.baylorboard.domain.Tweet>,
com.rokin.baylorboard.service.TweetService,sendTweetsToKafka,void,com.rokin.baylorboard.domain.Tweet
com.rokin.baylorboard.service.TweetService,streamTweets,java.lang.String,
com.rokin.baylorboard.service.TweetService,onException,void,Exception
com.rokin.baylorboard.service.TweetService,onDeletionNotice,void,StatusDeletionNotice
com.rokin.baylorboard.service.TweetService,onScrubGeo,void,long;long
com.rokin.baylorboard.service.TweetService,onStallWarning,void,StallWarning
com.rokin.baylorboard.service.TweetService,onStatus,void,Status
com.rokin.baylorboard.service.TweetService,onTrackLimitationNotice,void,int
com.rokin.baylorboard.service.TweetService,findTweetsWithPaging,java.util.Map<java.lang.String, java.lang.Object>,com.rokin.baylorboard.enums.TweetStatus;java.lang.Integer;java.lang.Integer
com.rokin.baylorboard.service.TweetService,updateStatus,com.rokin.baylorboard.domain.Tweet,java.lang.String;com.rokin.baylorboard.enums.TweetStatus
com.rokin.baylorboard.service.TweetService,getById,com.rokin.baylorboard.domain.Tweet,java.lang.String
com.rokin.baylorboard.service.TweetService,deleteAllTweets,void,
com.rokin.baylorboard.service.UserService,addUsers,com.rokin.baylorboard.domain.User,com.rokin.baylorboard.domain.User
com.rokin.baylorboard.service.UserService,allUsers,java.util.List<com.rokin.baylorboard.domain.User>,
com.rokin.baylorboard.service.UserService,updateUser,com.rokin.baylorboard.domain.User,java.lang.String;com.rokin.baylorboard.domain.User
com.rokin.baylorboard.service.UserService,findById,com.rokin.baylorboard.domain.User,java.lang.String
com.rokin.baylorboard.service.UserService,deleteUser,void,java.lang.String
com.rokin.baylorboard.service.UserService,loginUser,com.rokin.baylorboard.domain.User,com.rokin.baylorboard.domain.User
com.rokin.baylorboard.service.WhitelistUserService,getWhitelistUsers,java.util.List<com.rokin.baylorboard.domain.WhitelistUser>,
com.rokin.baylorboard.service.WhitelistUserService,add,com.rokin.baylorboard.domain.WhitelistUser,com.rokin.baylorboard.domain.WhitelistUser
com.rokin.baylorboard.service.WhitelistUserService,findAll,java.util.List<com.rokin.baylorboard.domain.WhitelistUser>,
com.rokin.baylorboard.service.WhitelistUserService,delete,void,java.lang.String
