src,dst,type,weight
org.compiere.Compiere,org.compiere.util.CLogger,FIELD,1
org.compiere.Compiere,org.compiere.util.Util,CALL,5
org.compiere.Compiere,org.compiere.util.Ini,CALL,7
org.compiere.Compiere,org.compiere.util.Login,CALL,1
org.compiere.Compiere,org.compiere.util.CLogMgt,CALL,4
org.compiere.Compiere,org.compiere.util.CLogger,CALL,1
org.compiere.Compiere,org.compiere.util.CLogFile,CALL,2
org.compiere.Compiere,org.compiere.plaf.CompiereTheme,CALL,1
org.compiere.Compiere,org.compiere.plaf.CompierePLAF,CALL,1
org.compiere.Compiere,org.compiere.util.DB,CALL,3
org.compiere.Compiere,org.compiere.db.CConnection,CALL,1
org.compiere.Compiere,org.compiere.model.MSystem,CALL,2
org.compiere.Compiere,org.compiere.util.Env,CALL,4
org.compiere.Compiere,org.compiere.framework.ModelValidationEngine,CALL,1
org.compiere.Compiere,org.compiere.model.X_AD_System,CALL,2
org.compiere.Compiere,org.compiere.util.SecureEngine,CALL,2
org.compiere.Compiere,org.compiere.model.MClient,CALL,2
org.compiere.Compiere,org.compiere.util.Splash,CALL,1
org.compiere.controller.GridFieldVO,org.compiere.vos.FieldVO,EXTENDS,1
org.compiere.controller.GridFieldVO,org.compiere.util.Ctx,FIELD,1
org.compiere.controller.GridFieldVO,org.compiere.model.MLookupInfo,FIELD,1
org.compiere.controller.GridFieldVO,org.compiere.util.Env,CALL,3
org.compiere.controller.GridFieldVO,org.compiere.util.CLogger,CALL,4
org.compiere.controller.GridFieldVO,org.compiere.common.FieldType,CALL,1
org.compiere.controller.GridFieldVO,org.compiere.model.MLookupFactory,CALL,1
org.compiere.controller.GridFieldVO,org.compiere.model.MRole,CALL,2
org.compiere.controller.GridFieldVO,org.compiere.util.Ctx,CALL,1
org.compiere.controller.GridTabVO,org.compiere.util.Evaluatee,IMPLEMENTS,1
org.compiere.controller.GridTabVO,org.compiere.util.Ctx,FIELD,1
org.compiere.controller.GridTabVO,org.compiere.controller.GridFieldVO,FIELD,1
org.compiere.controller.GridTabVO,org.compiere.util.CLogger,CALL,10
org.compiere.controller.GridTabVO,org.compiere.model.MRole,CALL,3
org.compiere.controller.GridTabVO,org.compiere.util.Ctx,CALL,12
org.compiere.controller.GridTabVO,org.compiere.util.Env,CALL,6
org.compiere.controller.GridTabVO,org.compiere.controller.GridFieldVO,CALL,4
org.compiere.controller.GridTabVO,org.compiere.util.Trx,CALL,1
org.compiere.controller.UICalloutEngine,org.compiere.api.CalloutInterface,IMPLEMENTS,1
org.compiere.controller.UICalloutEngine,org.compiere.util.CLogger,FIELD,1
org.compiere.controller.UICalloutEngine,org.compiere.util.CLogger,CALL,1
org.compiere.controller.UICalloutEngine,org.compiere.vos.ResponseVO,CALL,4
org.compiere.controller.UICalloutEngine,org.compiere.controller.UIFieldVO,CALL,3
org.compiere.controller.UICalloutEngine,org.compiere.controller.UIField,CALL,4
org.compiere.controller.UICalloutEngine,org.compiere.vos.ChangeVO,CALL,6
org.compiere.controller.UIField,org.compiere.controller.UIFieldVO,EXTENDS,1
org.compiere.controller.UIField,org.compiere.util.CLogger,FIELD,1
org.compiere.controller.UIField,org.compiere.framework.Lookup,FIELD,1
org.compiere.controller.UIField,org.compiere.model.MLookupInfo,FIELD,1
org.compiere.controller.UIField,org.compiere.util.CLogger,CALL,1
org.compiere.controller.UIField,org.compiere.framework.VO,CALL,1
org.compiere.controller.UIField,org.compiere.controller.UIFieldVO,CALL,78
