src,dst,type,weight
com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,FIELD,2
com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.util.FinancialUtils,CALL,2
com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,CALL,12
com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.util.TradeConfig,CALL,3
com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.util.Log,CALL,1
com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,com.ibm.websphere.samples.daytrader.util.Log,CALL,3
com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,com.ibm.websphere.samples.daytrader.util.KeyBlock,CALL,1
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.TradeServices,IMPLEMENTS,1
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.util.Log,CALL,128
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,CALL,20
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,CALL,20
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,CALL,7
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.util.TradeConfig,CALL,8
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,CALL,10
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.TradeAction,CALL,2
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,CALL,3
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,CALL,4
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.util.MDBStats,CALL,4
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,CALL,13
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,CALL,1
com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,CALL,1
