srcClass,srcMethod,dstClass,dstMethod
com.ibm.websphere.samples.daytrader.TradeAction,buy,com.ibm.websphere.samples.daytrader.TradeServices,buy
com.ibm.websphere.samples.daytrader.TradeAction,buy,com.ibm.websphere.samples.daytrader.util.Log,doActionTrace
com.ibm.websphere.samples.daytrader.TradeAction,buy,com.ibm.websphere.samples.daytrader.util.Log,trace
com.ibm.websphere.samples.daytrader.TradeAction,buy,com.ibm.websphere.samples.daytrader.util.TradeConfig,getRandomPriceChangeFactor
com.ibm.websphere.samples.daytrader.TradeAction,createQuote,com.ibm.websphere.samples.daytrader.TradeServices,createQuote
com.ibm.websphere.samples.daytrader.TradeAction,createQuote,com.ibm.websphere.samples.daytrader.util.Log,doActionTrace
com.ibm.websphere.samples.daytrader.TradeAction,createQuote,com.ibm.websphere.samples.daytrader.util.Log,trace
com.ibm.websphere.samples.daytrader.TradeAction,createTrade,com.ibm.websphere.samples.daytrader.direct.TradeDirect,<init>
com.ibm.websphere.samples.daytrader.TradeAction,createTrade,com.ibm.websphere.samples.daytrader.util.Log,error
com.ibm.websphere.samples.daytrader.TradeAction,createTrade,com.ibm.websphere.samples.daytrader.util.TradeConfig,useRemoteEJBInterface
com.ibm.websphere.samples.daytrader.TradeAction,getAccountData,com.ibm.websphere.samples.daytrader.TradeServices,getAccountData
com.ibm.websphere.samples.daytrader.TradeAction,getAccountData,com.ibm.websphere.samples.daytrader.util.Log,doActionTrace
com.ibm.websphere.samples.daytrader.TradeAction,getAccountData,com.ibm.websphere.samples.daytrader.util.Log,trace
com.ibm.websphere.samples.daytrader.TradeAction,getAccountProfileData,com.ibm.websphere.samples.daytrader.TradeServices,getAccountProfileData
com.ibm.websphere.samples.daytrader.TradeAction,getAccountProfileData,com.ibm.websphere.samples.daytrader.util.Log,doActionTrace
com.ibm.websphere.samples.daytrader.TradeAction,getAccountProfileData,com.ibm.websphere.samples.daytrader.util.Log,trace
com.ibm.websphere.samples.daytrader.TradeAction,getAllQuotes,com.ibm.websphere.samples.daytrader.TradeServices,getAllQuotes
com.ibm.websphere.samples.daytrader.TradeAction,getAllQuotes,com.ibm.websphere.samples.daytrader.util.Log,doActionTrace
com.ibm.websphere.samples.daytrader.TradeAction,getAllQuotes,com.ibm.websphere.samples.daytrader.util.Log,trace
com.ibm.websphere.samples.daytrader.TradeAction,getClosedOrders,com.ibm.websphere.samples.daytrader.TradeServices,getClosedOrders
com.ibm.websphere.samples.daytrader.TradeAction,getClosedOrders,com.ibm.websphere.samples.daytrader.util.Log,doActionTrace
com.ibm.websphere.samples.daytrader.TradeAction,getClosedOrders,com.ibm.websphere.samples.daytrader.util.Log,trace
com.ibm.websphere.samples.daytrader.TradeAction,getHolding,com.ibm.websphere.samples.daytrader.TradeServices,getHolding
com.ibm.websphere.samples.daytrader.TradeAction,getHolding,com.ibm.websphere.samples.daytrader.util.Log,doActionTrace
com.ibm.websphere.samples.daytrader.TradeAction,getHolding,com.ibm.websphere.samples.daytrader.util.Log,trace
com.ibm.websphere.samples.daytrader.TradeAction,getHoldings,com.ibm.websphere.samples.daytrader.TradeServices,getHoldings
com.ibm.websphere.samples.daytrader.TradeAction,getHoldings,com.ibm.websphere.samples.daytrader.util.Log,doActionTrace
com.ibm.websphere.samples.daytrader.TradeAction,getHoldings,com.ibm.websphere.samples.daytrader.util.Log,trace
