src,dst,type,weight
WebApplication1.ApplicationSignInManager,WebApplication1.ApplicationUserManager,CALL,9
WebApplication1.ApplicationSignInManager,WebApplication1.ApplicationUserManager,FIELD,1
WebApplication1.ApplicationSignInManager,WebApplication1.EmailService,CALL,4
WebApplication1.ApplicationSignInManager,WebApplication1.Models.ApplicationDbContext,CALL,1
WebApplication1.ApplicationSignInManager,WebApplication1.Models.ApplicationUser,CALL,9
WebApplication1.ApplicationSignInManager,WebApplication1.Models.ApplicationUser,FIELD,1
WebApplication1.ApplicationSignInManager,WebApplication1.SmsService,CALL,4
WebApplication1.ApplicationUserManager,WebApplication1.ApplicationSignInManager,CALL,6
WebApplication1.ApplicationUserManager,WebApplication1.ApplicationSignInManager,FIELD,1
WebApplication1.ApplicationUserManager,WebApplication1.EmailService,CALL,4
WebApplication1.ApplicationUserManager,WebApplication1.Models.ApplicationDbContext,CALL,1
WebApplication1.ApplicationUserManager,WebApplication1.Models.ApplicationUser,CALL,9
WebApplication1.ApplicationUserManager,WebApplication1.Models.ApplicationUser,FIELD,1
WebApplication1.ApplicationUserManager,WebApplication1.SmsService,CALL,4
WebApplication1.Controllers.AccountController,WebApplication1.ApplicationSignInManager,CALL,4
WebApplication1.Controllers.AccountController,WebApplication1.ApplicationSignInManager,FIELD,2
WebApplication1.Controllers.AccountController,WebApplication1.ApplicationUserManager,CALL,4
WebApplication1.Controllers.AccountController,WebApplication1.ApplicationUserManager,FIELD,2
WebApplication1.Controllers.AccountController,WebApplication1.Controllers.ChallengeResult,CALL,3
WebApplication1.Controllers.AccountController,WebApplication1.Models.ApplicationUser,CALL,1
WebApplication1.Controllers.AccountController,WebApplication1.Models.LoginViewModel,CALL,1
WebApplication1.Controllers.AccountController,WebApplication1.Models.LoginViewModel,FIELD,1
WebApplication1.Controllers.AccountController,WebApplication1.Models.RegisterViewModel,CALL,1
WebApplication1.Controllers.AccountController,WebApplication1.Models.RegisterViewModel,FIELD,1
WebApplication1.Controllers.AccountController,WebApplication1.Models.SendCodeViewModel,CALL,2
WebApplication1.Controllers.AccountController,WebApplication1.Models.SendCodeViewModel,FIELD,1
WebApplication1.Controllers.AccountController,WebApplication1.Models.USER,CALL,3
WebApplication1.Controllers.AccountController,WebApplication1.Models.VerifyCodeViewModel,CALL,2
WebApplication1.Controllers.AccountController,WebApplication1.Models.VerifyCodeViewModel,FIELD,1
WebApplication1.Controllers.AccountController,WebApplication1.Repositories.Concrete.UserRepostiory,CALL,2
WebApplication1.Controllers.AccountController,WebApplication1.Repositories.Interfaces.IUserRepository,CALL,1
WebApplication1.Controllers.AccountController,WebApplication1.Services.UserService,CALL,7
WebApplication1.Controllers.AccountController,WebApplication1.Services.UserService,FIELD,1
WebApplication1.Controllers.ChallengeResult,WebApplication1.ApplicationSignInManager,CALL,4
WebApplication1.Controllers.ChallengeResult,WebApplication1.ApplicationSignInManager,FIELD,2
WebApplication1.Controllers.ChallengeResult,WebApplication1.ApplicationUserManager,CALL,4
WebApplication1.Controllers.ChallengeResult,WebApplication1.ApplicationUserManager,FIELD,2
WebApplication1.Controllers.ChallengeResult,WebApplication1.Controllers.AccountController,CALL,3
WebApplication1.Controllers.ChallengeResult,WebApplication1.Models.ApplicationUser,CALL,1
WebApplication1.Controllers.ChallengeResult,WebApplication1.Models.LoginViewModel,CALL,1
WebApplication1.Controllers.ChallengeResult,WebApplication1.Models.LoginViewModel,FIELD,1
WebApplication1.Controllers.ChallengeResult,WebApplication1.Models.RegisterViewModel,CALL,1
WebApplication1.Controllers.ChallengeResult,WebApplication1.Models.RegisterViewModel,FIELD,1
WebApplication1.Controllers.ChallengeResult,WebApplication1.Models.SendCodeViewModel,CALL,2
WebApplication1.Controllers.ChallengeResult,WebApplication1.Models.SendCodeViewModel,FIELD,1
WebApplication1.Controllers.ChallengeResult,WebApplication1.Models.USER,CALL,3
WebApplication1.Controllers.ChallengeResult,WebApplication1.Models.VerifyCodeViewModel,CALL,2
WebApplication1.Controllers.ChallengeResult,WebApplication1.Models.VerifyCodeViewModel,FIELD,1
WebApplication1.Controllers.ChallengeResult,WebApplication1.Repositories.Concrete.UserRepostiory,CALL,2
WebApplication1.Controllers.ChallengeResult,WebApplication1.Repositories.Interfaces.IUserRepository,CALL,1
WebApplication1.Controllers.ChallengeResult,WebApplication1.Services.UserService,CALL,7
WebApplication1.Controllers.ChallengeResult,WebApplication1.Services.UserService,FIELD,1
WebApplication1.Controllers.DietController,WebApplication1.Models.DIET,CALL,1
WebApplication1.Controllers.DietController,WebApplication1.Models.DietViewModel,CALL,3
WebApplication1.Controllers.DietController,WebApplication1.Models.DietViewModel,FIELD,1
WebApplication1.Controllers.DietController,WebApplication1.Models.ProductDietViewModel,CALL,6
WebApplication1.Controllers.DietController,WebApplication1.Models.ProductDietViewModel,FIELD,1
WebApplication1.Controllers.DietController,WebApplication1.Models.ShareDietViewModel,CALL,3
WebApplication1.Controllers.DietController,WebApplication1.Models.ShareDietViewModel,FIELD,1
WebApplication1.Controllers.DietController,WebApplication1.Services.DietService,CALL,13
WebApplication1.Controllers.DietController,WebApplication1.Services.DietService,FIELD,1
WebApplication1.Controllers.DietController,WebApplication1.Services.ProductService,CALL,7
WebApplication1.Controllers.DietController,WebApplication1.Services.ProductService,FIELD,1
WebApplication1.Controllers.EntryController,WebApplication1.Models.UserDataViewModel,CALL,1
WebApplication1.Controllers.EntryController,WebApplication1.Models.UserDataViewModel,FIELD,1
WebApplication1.Controllers.EntryController,WebApplication1.Repositories.Concrete.UserRepostiory,CALL,3
WebApplication1.Controllers.EntryController,WebApplication1.Services.EntryService,CALL,3
WebApplication1.Controllers.EntryController,WebApplication1.Services.EntryService,FIELD,1
WebApplication1.Controllers.ManageController,WebApplication1.ApplicationSignInManager,CALL,4
WebApplication1.Controllers.ManageController,WebApplication1.ApplicationSignInManager,FIELD,2
WebApplication1.Controllers.ManageController,WebApplication1.ApplicationUserManager,CALL,4
WebApplication1.Controllers.ManageController,WebApplication1.ApplicationUserManager,FIELD,2
WebApplication1.Controllers.ManageController,WebApplication1.Models.ChangePasswordViewModel,CALL,1
WebApplication1.Controllers.ManageController,WebApplication1.Models.ChangePasswordViewModel,FIELD,1
WebApplication1.Controllers.ManageController,WebApplication1.Services.UserService,CALL,10
WebApplication1.Controllers.ManageController,WebApplication1.Services.UserService,FIELD,1
WebApplication1.Controllers.ProductController,WebApplication1.Models.ProductViewModel,CALL,1
WebApplication1.Controllers.ProductController,WebApplication1.Models.ProductViewModel,FIELD,1
WebApplication1.Controllers.ProductController,WebApplication1.Repositories.Concrete.ProductRepository,CALL,2
WebApplication1.Controllers.ProductController,WebApplication1.Repositories.Interfaces.IProductRepository,CALL,1
WebApplication1.Controllers.ProductController,WebApplication1.Services.ProductService,CALL,3
WebApplication1.Controllers.ProductController,WebApplication1.Services.ProductService,FIELD,1
WebApplication1.EmailService,WebApplication1.ApplicationSignInManager,CALL,6
WebApplication1.EmailService,WebApplication1.ApplicationSignInManager,FIELD,1
WebApplication1.EmailService,WebApplication1.ApplicationUserManager,CALL,9
WebApplication1.EmailService,WebApplication1.ApplicationUserManager,FIELD,1
WebApplication1.EmailService,WebApplication1.Models.ApplicationDbContext,CALL,1
WebApplication1.EmailService,WebApplication1.Models.ApplicationUser,CALL,9
WebApplication1.EmailService,WebApplication1.Models.ApplicationUser,FIELD,1
WebApplication1.EmailService,WebApplication1.SmsService,CALL,4
WebApplication1.Models.ApplicationDbContext,WebApplication1.Models.ApplicationUser,CALL,4
WebApplication1.Models.ApplicationDbContext,WebApplication1.Models.ApplicationUser,FIELD,1
WebApplication1.Models.ApplicationUser,WebApplication1.Models.ApplicationDbContext,CALL,5
WebApplication1.Models.DIET,WebApplication1.Models.DIET_PRODUCTS,CALL,4
WebApplication1.Models.DIET,WebApplication1.Models.DIET_PRODUCTS,FIELD,1
WebApplication1.Models.DIET,WebApplication1.Models.USER_DIETS,CALL,4
WebApplication1.Models.DIET,WebApplication1.Models.USER_DIETS,FIELD,1
WebApplication1.Models.DIET_PRODUCTS,WebApplication1.Models.DIET,CALL,2
WebApplication1.Models.DIET_PRODUCTS,WebApplication1.Models.DIET,FIELD,1
WebApplication1.Models.DIET_PRODUCTS,WebApplication1.Models.PRODUCT,CALL,2
WebApplication1.Models.DIET_PRODUCTS,WebApplication1.Models.PRODUCT,FIELD,1
WebApplication1.Models.DietDbContext,WebApplication1.Models.DIET,CALL,1
WebApplication1.Models.DietDbContext,WebApplication1.Models.DIET,FIELD,1
WebApplication1.Models.DietDbContext,WebApplication1.Models.DIET_PRODUCTS,CALL,2
WebApplication1.Models.DietDbContext,WebApplication1.Models.DIET_PRODUCTS,FIELD,1
WebApplication1.Models.DietDbContext,WebApplication1.Models.PRODUCT,CALL,1
WebApplication1.Models.DietDbContext,WebApplication1.Models.PRODUCT,FIELD,1
WebApplication1.Models.DietDbContext,WebApplication1.Models.USER,CALL,1
WebApplication1.Models.DietDbContext,WebApplication1.Models.USER,FIELD,1
WebApplication1.Models.DietDbContext,WebApplication1.Models.USERINFO,CALL,1
WebApplication1.Models.DietDbContext,WebApplication1.Models.USERINFO,FIELD,1
WebApplication1.Models.DietDbContext,WebApplication1.Models.USERS_LOGS,CALL,2
WebApplication1.Models.DietDbContext,WebApplication1.Models.USERS_LOGS,FIELD,1
WebApplication1.Models.DietDbContext,WebApplication1.Models.USER_DATA,CALL,2
WebApplication1.Models.DietDbContext,WebApplication1.Models.USER_DATA,FIELD,1
WebApplication1.Models.DietDbContext,WebApplication1.Models.USER_DIETS,CALL,2
WebApplication1.Models.DietDbContext,WebApplication1.Models.USER_DIETS,FIELD,1
WebApplication1.Models.DietViewModel,WebApplication1.Models.PRODUCT,CALL,1
WebApplication1.Models.DietViewModel,WebApplication1.Models.PRODUCT,FIELD,1
WebApplication1.Models.DietViewModel,WebApplication1.Models.ProductDietViewModel,CALL,2
WebApplication1.Models.DietViewModel,WebApplication1.Models.ProductDietViewModel,FIELD,1
WebApplication1.Models.DietViewModel,WebApplication1.Models.ShareDietViewModel,CALL,1
WebApplication1.Models.EntriesIndexViewModel,WebApplication1.Models.USER_DATA,CALL,1
WebApplication1.Models.EntriesIndexViewModel,WebApplication1.Models.USER_DATA,FIELD,1
WebApplication1.Models.EntriesIndexViewModel,WebApplication1.Models.UserDataViewModel,CALL,1
WebApplication1.Models.LoginViewModel,WebApplication1.Models.RegisterViewModel,CALL,1
WebApplication1.Models.LoginViewModel,WebApplication1.Models.SendCodeViewModel,CALL,1
WebApplication1.Models.LoginViewModel,WebApplication1.Models.VerifyCodeViewModel,CALL,1
WebApplication1.Models.PRODUCT,WebApplication1.Models.DIET_PRODUCTS,CALL,4
WebApplication1.Models.PRODUCT,WebApplication1.Models.DIET_PRODUCTS,FIELD,1
WebApplication1.Models.ProductListViewModel,WebApplication1.Models.PRODUCT,CALL,1
WebApplication1.Models.ProductListViewModel,WebApplication1.Models.PRODUCT,FIELD,1
WebApplication1.Models.ProductListViewModel,WebApplication1.Models.ProductViewModel,CALL,1
WebApplication1.Models.ProductViewModel,WebApplication1.Models.PRODUCT,CALL,1
WebApplication1.Models.ProductViewModel,WebApplication1.Models.PRODUCT,FIELD,1
WebApplication1.Models.ProductViewModel,WebApplication1.Models.ProductListViewModel,CALL,1
WebApplication1.Models.RegisterViewModel,WebApplication1.Models.LoginViewModel,CALL,1
WebApplication1.Models.RegisterViewModel,WebApplication1.Models.SendCodeViewModel,CALL,1
WebApplication1.Models.RegisterViewModel,WebApplication1.Models.VerifyCodeViewModel,CALL,1
WebApplication1.Models.SendCodeViewModel,WebApplication1.Models.LoginViewModel,CALL,1
WebApplication1.Models.SendCodeViewModel,WebApplication1.Models.RegisterViewModel,CALL,1
WebApplication1.Models.SendCodeViewModel,WebApplication1.Models.VerifyCodeViewModel,CALL,1
WebApplication1.Models.ShareDietViewModel,WebApplication1.Models.DietViewModel,CALL,1
WebApplication1.Models.ShareDietViewModel,WebApplication1.Models.PRODUCT,CALL,1
WebApplication1.Models.ShareDietViewModel,WebApplication1.Models.PRODUCT,FIELD,1
WebApplication1.Models.ShareDietViewModel,WebApplication1.Models.ProductDietViewModel,CALL,2
WebApplication1.Models.ShareDietViewModel,WebApplication1.Models.ProductDietViewModel,FIELD,1
WebApplication1.Models.USER,WebApplication1.Models.USERS_LOGS,CALL,4
WebApplication1.Models.USER,WebApplication1.Models.USERS_LOGS,FIELD,1
WebApplication1.Models.USER,WebApplication1.Models.USER_DATA,CALL,4
WebApplication1.Models.USER,WebApplication1.Models.USER_DATA,FIELD,1
WebApplication1.Models.USER,WebApplication1.Models.USER_DIETS,CALL,4
WebApplication1.Models.USER,WebApplication1.Models.USER_DIETS,FIELD,1
WebApplication1.Models.USERS_LOGS,WebApplication1.Models.USER,CALL,2
WebApplication1.Models.USERS_LOGS,WebApplication1.Models.USER,FIELD,1
WebApplication1.Models.USER_DATA,WebApplication1.Models.USER,CALL,2
WebApplication1.Models.USER_DATA,WebApplication1.Models.USER,FIELD,1
