srcClass,srcMethod,dstClass,dstMethod
WebApplication1.MvcApplication,unknown,WebApplication1.BundleConfig,call
WebApplication1.MvcApplication,unknown,WebApplication1.FilterConfig,call
WebApplication1.MvcApplication,unknown,WebApplication1.RouteConfig,call
WebApplication1.EmailService,unknown,WebApplication1.ApplicationUserManager,<init>
WebApplication1.EmailService,unknown,WebApplication1.EmailService,<init>
WebApplication1.EmailService,unknown,WebApplication1.SmsService,<init>
WebApplication1.EmailService,unknown,WebApplication1.ApplicationSignInManager,<init>
WebApplication1.EmailService,unknown,WebApplication1.SmsService,call
WebApplication1.EmailService,unknown,WebApplication1.ApplicationUserManager,call
WebApplication1.EmailService,unknown,WebApplication1.ApplicationSignInManager,call
WebApplication1.EmailService,unknown,WebApplication1.Models.ApplicationUser,call
WebApplication1.EmailService,unknown,WebApplication1.Models.ApplicationDbContext,call
WebApplication1.SmsService,unknown,WebApplication1.ApplicationUserManager,<init>
WebApplication1.SmsService,unknown,WebApplication1.EmailService,<init>
WebApplication1.SmsService,unknown,WebApplication1.SmsService,<init>
WebApplication1.SmsService,unknown,WebApplication1.ApplicationSignInManager,<init>
WebApplication1.SmsService,unknown,WebApplication1.EmailService,call
WebApplication1.SmsService,unknown,WebApplication1.ApplicationUserManager,call
WebApplication1.SmsService,unknown,WebApplication1.ApplicationSignInManager,call
WebApplication1.SmsService,unknown,WebApplication1.Models.ApplicationUser,call
WebApplication1.SmsService,unknown,WebApplication1.Models.ApplicationDbContext,call
WebApplication1.ApplicationUserManager,unknown,WebApplication1.ApplicationUserManager,<init>
WebApplication1.ApplicationUserManager,unknown,WebApplication1.EmailService,<init>
WebApplication1.ApplicationUserManager,unknown,WebApplication1.SmsService,<init>
WebApplication1.ApplicationUserManager,unknown,WebApplication1.ApplicationSignInManager,<init>
WebApplication1.ApplicationUserManager,unknown,WebApplication1.EmailService,call
WebApplication1.ApplicationUserManager,unknown,WebApplication1.SmsService,call
WebApplication1.ApplicationUserManager,unknown,WebApplication1.ApplicationSignInManager,call
WebApplication1.ApplicationUserManager,unknown,WebApplication1.Models.ApplicationUser,call
WebApplication1.ApplicationUserManager,unknown,WebApplication1.Models.ApplicationDbContext,call
WebApplication1.ApplicationSignInManager,unknown,WebApplication1.ApplicationUserManager,<init>
WebApplication1.ApplicationSignInManager,unknown,WebApplication1.EmailService,<init>
WebApplication1.ApplicationSignInManager,unknown,WebApplication1.SmsService,<init>
WebApplication1.ApplicationSignInManager,unknown,WebApplication1.ApplicationSignInManager,<init>
WebApplication1.ApplicationSignInManager,unknown,WebApplication1.EmailService,call
WebApplication1.ApplicationSignInManager,unknown,WebApplication1.SmsService,call
WebApplication1.ApplicationSignInManager,unknown,WebApplication1.ApplicationUserManager,call
WebApplication1.ApplicationSignInManager,unknown,WebApplication1.Models.ApplicationUser,call
WebApplication1.ApplicationSignInManager,unknown,WebApplication1.Models.ApplicationDbContext,call
WebApplication1.Startup,unknown,WebApplication1.ApplicationUserManager,call
WebApplication1.Startup,unknown,WebApplication1.ApplicationSignInManager,call
WebApplication1.Startup,unknown,WebApplication1.Models.ApplicationDbContext,call
WebApplication1.Controllers.AccountController,unknown,WebApplication1.Repositories.Concrete.UserRepostiory,<init>
WebApplication1.Controllers.AccountController,unknown,WebApplication1.Services.UserService,<init>
WebApplication1.Controllers.AccountController,unknown,WebApplication1.Models.USER,<init>
WebApplication1.Controllers.AccountController,unknown,WebApplication1.ApplicationUserManager,call
WebApplication1.Controllers.AccountController,unknown,WebApplication1.ApplicationSignInManager,call
WebApplication1.Controllers.AccountController,unknown,WebApplication1.Controllers.ChallengeResult,call
WebApplication1.Controllers.AccountController,unknown,WebApplication1.Models.SendCodeViewModel,call
WebApplication1.Controllers.AccountController,unknown,WebApplication1.Models.VerifyCodeViewModel,call
WebApplication1.Controllers.AccountController,unknown,WebApplication1.Models.LoginViewModel,call
WebApplication1.Controllers.AccountController,unknown,WebApplication1.Models.RegisterViewModel,call
WebApplication1.Controllers.AccountController,unknown,WebApplication1.Models.ApplicationUser,call
WebApplication1.Controllers.AccountController,unknown,WebApplication1.Models.USER,call
WebApplication1.Controllers.AccountController,unknown,WebApplication1.Repositories.Concrete.UserRepostiory,call
WebApplication1.Controllers.AccountController,unknown,WebApplication1.Repositories.Interfaces.IUserRepository,call
WebApplication1.Controllers.AccountController,unknown,WebApplication1.Services.UserService,call
WebApplication1.Controllers.ChallengeResult,unknown,WebApplication1.Repositories.Concrete.UserRepostiory,<init>
WebApplication1.Controllers.ChallengeResult,unknown,WebApplication1.Services.UserService,<init>
WebApplication1.Controllers.ChallengeResult,unknown,WebApplication1.Models.USER,<init>
WebApplication1.Controllers.ChallengeResult,unknown,WebApplication1.ApplicationUserManager,call
WebApplication1.Controllers.ChallengeResult,unknown,WebApplication1.ApplicationSignInManager,call
WebApplication1.Controllers.ChallengeResult,unknown,WebApplication1.Controllers.AccountController,call
WebApplication1.Controllers.ChallengeResult,unknown,WebApplication1.Models.SendCodeViewModel,call
WebApplication1.Controllers.ChallengeResult,unknown,WebApplication1.Models.VerifyCodeViewModel,call
WebApplication1.Controllers.ChallengeResult,unknown,WebApplication1.Models.LoginViewModel,call
WebApplication1.Controllers.ChallengeResult,unknown,WebApplication1.Models.RegisterViewModel,call
WebApplication1.Controllers.ChallengeResult,unknown,WebApplication1.Models.ApplicationUser,call
WebApplication1.Controllers.ChallengeResult,unknown,WebApplication1.Models.USER,call
WebApplication1.Controllers.ChallengeResult,unknown,WebApplication1.Repositories.Concrete.UserRepostiory,call
