class,method,returnType,parameters
WebApplication1.MvcApplication,Application_Start,void,
WebApplication1.Startup,Configuration,void,IAppBuilder
WebApplication1.BundleConfig,RegisterBundles,void,BundleCollection
WebApplication1.FilterConfig,RegisterGlobalFilters,void,GlobalFilterCollection
WebApplication1.EmailService,SendAsync,Task,IdentityMessage
WebApplication1.EmailService,SendAsync,Task,IdentityMessage
WebApplication1.EmailService,Create,ApplicationUserManager,IdentityFactoryOptions<ApplicationUserManager>;IOwinContext
WebApplication1.EmailService,CreateUserIdentityAsync,Task<ClaimsIdentity>,ApplicationUser
WebApplication1.EmailService,Create,ApplicationSignInManager,IdentityFactoryOptions<ApplicationSignInManager>;IOwinContext
WebApplication1.SmsService,SendAsync,Task,IdentityMessage
WebApplication1.SmsService,SendAsync,Task,IdentityMessage
WebApplication1.SmsService,Create,ApplicationUserManager,IdentityFactoryOptions<ApplicationUserManager>;IOwinContext
WebApplication1.SmsService,CreateUserIdentityAsync,Task<ClaimsIdentity>,ApplicationUser
WebApplication1.SmsService,Create,ApplicationSignInManager,IdentityFactoryOptions<ApplicationSignInManager>;IOwinContext
WebApplication1.ApplicationUserManager,SendAsync,Task,IdentityMessage
WebApplication1.ApplicationUserManager,SendAsync,Task,IdentityMessage
WebApplication1.ApplicationUserManager,Create,ApplicationUserManager,IdentityFactoryOptions<ApplicationUserManager>;IOwinContext
WebApplication1.ApplicationUserManager,CreateUserIdentityAsync,Task<ClaimsIdentity>,ApplicationUser
WebApplication1.ApplicationUserManager,Create,ApplicationSignInManager,IdentityFactoryOptions<ApplicationSignInManager>;IOwinContext
WebApplication1.ApplicationSignInManager,SendAsync,Task,IdentityMessage
WebApplication1.ApplicationSignInManager,SendAsync,Task,IdentityMessage
WebApplication1.ApplicationSignInManager,Create,ApplicationUserManager,IdentityFactoryOptions<ApplicationUserManager>;IOwinContext
WebApplication1.ApplicationSignInManager,CreateUserIdentityAsync,Task<ClaimsIdentity>,ApplicationUser
WebApplication1.ApplicationSignInManager,Create,ApplicationSignInManager,IdentityFactoryOptions<ApplicationSignInManager>;IOwinContext
WebApplication1.RouteConfig,RegisterRoutes,void,RouteCollection
WebApplication1.Startup,ConfigureAuth,void,IAppBuilder
WebApplication1.Controllers.AccountController,Login,ActionResult,string
WebApplication1.Controllers.AccountController,Login,ActionResult,LoginViewModel;string
WebApplication1.Controllers.AccountController,LogOff,ActionResult,
WebApplication1.Controllers.AccountController,SignInUser,void,string;bool;int
WebApplication1.Controllers.AccountController,VerifyCode,Task<ActionResult>,string;string;bool
WebApplication1.Controllers.AccountController,VerifyCode,Task<ActionResult>,VerifyCodeViewModel
WebApplication1.Controllers.AccountController,Register,ActionResult,
WebApplication1.Controllers.AccountController,Register,ActionResult,RegisterViewModel
WebApplication1.Controllers.AccountController,SendCode,Task<ActionResult>,string;bool
WebApplication1.Controllers.AccountController,SendCode,Task<ActionResult>,SendCodeViewModel
WebApplication1.Controllers.AccountController,Dispose,void,bool
WebApplication1.Controllers.AccountController,AddErrors,void,IdentityResult
WebApplication1.Controllers.AccountController,RedirectToLocal,ActionResult,string
WebApplication1.Controllers.AccountController,ExecuteResult,void,ControllerContext
WebApplication1.Controllers.ChallengeResult,Login,ActionResult,string
WebApplication1.Controllers.ChallengeResult,Login,ActionResult,LoginViewModel;string
WebApplication1.Controllers.ChallengeResult,LogOff,ActionResult,
WebApplication1.Controllers.ChallengeResult,SignInUser,void,string;bool;int
WebApplication1.Controllers.ChallengeResult,VerifyCode,Task<ActionResult>,string;string;bool
WebApplication1.Controllers.ChallengeResult,VerifyCode,Task<ActionResult>,VerifyCodeViewModel
WebApplication1.Controllers.ChallengeResult,Register,ActionResult,
WebApplication1.Controllers.ChallengeResult,Register,ActionResult,RegisterViewModel
WebApplication1.Controllers.ChallengeResult,SendCode,Task<ActionResult>,string;bool
WebApplication1.Controllers.ChallengeResult,SendCode,Task<ActionResult>,SendCodeViewModel
WebApplication1.Controllers.ChallengeResult,Dispose,void,bool
WebApplication1.Controllers.ChallengeResult,AddErrors,void,IdentityResult
WebApplication1.Controllers.ChallengeResult,RedirectToLocal,ActionResult,string
WebApplication1.Controllers.ChallengeResult,ExecuteResult,void,ControllerContext
WebApplication1.Controllers.DietController,Index,ActionResult,
WebApplication1.Controllers.DietController,AddProducts,ActionResult,int
WebApplication1.Controllers.DietController,AddProducts,ActionResult,ProductDietViewModel
WebApplication1.Controllers.DietController,CreateNewDiet,ActionResult,
WebApplication1.Controllers.DietController,Create,ActionResult,int
WebApplication1.Controllers.DietController,Create,ActionResult,DietViewModel
WebApplication1.Controllers.DietController,Delete,ActionResult,int
WebApplication1.Controllers.DietController,Edit,ActionResult,int
WebApplication1.Controllers.DietController,Share,ActionResult,int
WebApplication1.Controllers.DietController,Share,ActionResult,ShareDietViewModel
WebApplication1.Controllers.EntryController,Index,ActionResult,
WebApplication1.Controllers.EntryController,Delete,ActionResult,int
WebApplication1.Controllers.EntryController,Create,ActionResult,
WebApplication1.Controllers.EntryController,Create,ActionResult,UserDataViewModel
WebApplication1.Controllers.EntryController,Chart,ActionResult,
WebApplication1.Controllers.HomeController,Index,ActionResult,
WebApplication1.Controllers.ManageController,Index,Task<ActionResult>,ManageMessageId?
WebApplication1.Controllers.ManageController,ChangePassword,ActionResult,
WebApplication1.Controllers.ManageController,ChangePassword,Task<ActionResult>,ChangePasswordViewModel
WebApplication1.Controllers.ManageController,Dispose,void,bool
WebApplication1.Controllers.ProductController,Index,ViewResult,
WebApplication1.Controllers.ProductController,Create,ActionResult,
WebApplication1.Controllers.ProductController,Create,ActionResult,ProductViewModel
WebApplication1.Controllers.ProductController,PartialIndex,PartialViewResult,
WebApplication1.Models.DietDbContext,OnModelCreating,void,DbModelBuilder
WebApplication1.Models.DietDbContext,ADDPRODUCTODIET,int,Nullable<decimal>;Nullable<decimal>;Nullable<decimal>
WebApplication1.Models.DietDbContext,ADDUSERLOG,int,Nullable<decimal>;string
WebApplication1.Models.DietDbContext,CHANGEPASSWORD,int,string;Nullable<decimal>
WebApplication1.Models.DietDbContext,CREATEPRODUCT,int,string;Nullable<decimal>;Nullable<decimal>;Nullable<decimal>;Nullable<decimal>
WebApplication1.Models.DietDbContext,CREATEUSER,int,string;string;string
WebApplication1.Models.DietDbContext,CREATEUSERDATA,int,Nullable<decimal>;Nullable<decimal>;Nullable<decimal>
WebApplication1.Models.DietDbContext,DELETEPRODUCTFROMDIET,int,Nullable<decimal>;Nullable<decimal>
WebApplication1.Models.DietDbContext,LOGINBYUSERNAMEPASSWORD,int,string;string
WebApplication1.Models.ApplicationUser,GenerateUserIdentityAsync,Task<ClaimsIdentity>,UserManager<ApplicationUser>
WebApplication1.Models.ApplicationUser,Create,ApplicationDbContext,
WebApplication1.Models.ApplicationDbContext,GenerateUserIdentityAsync,Task<ClaimsIdentity>,UserManager<ApplicationUser>
WebApplication1.Models.ApplicationDbContext,Create,ApplicationDbContext,
WebApplication1.Repositories.Concrete.DietRepository,AddUserDietsEntry,void,USER_DIETS
WebApplication1.Repositories.Concrete.DietRepository,AddDiet,void,DIET
WebApplication1.Repositories.Concrete.DietRepository,AddProductToDiet,void,int;int;int
WebApplication1.Repositories.Concrete.DietRepository,CreateNewDiet,int,DateTime
WebApplication1.Repositories.Concrete.DietRepository,UpdateDate,void,int;DateTime
WebApplication1.Repositories.Concrete.DietRepository,DeleteAllDietProductsEntries,void,int
WebApplication1.Repositories.Concrete.DietRepository,DeleteDiet,void,int
WebApplication1.Repositories.Concrete.DietRepository,EditDiet,void,int
WebApplication1.Repositories.Concrete.ProductRepository,AddProductToDb,void,PRODUCT
WebApplication1.Repositories.Concrete.UserRepostiory,CreateUserData,void,USER_DATA
WebApplication1.Repositories.Concrete.UserRepostiory,DeletUserData,void,int
