src,dst,type,weight
LGACDB01,LGACDB02,CALL,4
LGACDB01,LGACVS01,CALL,4
LGACDB01,LGSTSQ,CALL,6
LGACDB02,LGSTSQ,CALL,6
LGACUS01,LGACDB01,CALL,4
LGACUS01,LGSTSQ,CALL,6
LGACVS01,LGSTSQ,CALL,6
LGAPDB01,LGAPVS01,CALL,4
LGAPDB01,LGSTSQ,CALL,6
LGAPOL01,LGAPDB01,CALL,4
LGAPOL01,LGSTSQ,CALL,6
LGAPVS01,LGSTSQ,CALL,6
LGASTAT1,LGACDB01,CALL,2
LGASTAT1,LGACVS01,CALL,2
LGDPDB01,LGDPVS01,CALL,4
LGDPDB01,LGSTSQ,CALL,6
LGDPOL01,LGDPDB01,CALL,4
LGDPOL01,LGSTSQ,CALL,6
LGDPVS01,LGSTSQ,CALL,6
LGICDB01,LGICUS01,CALL,1
LGICDB01,LGSTSQ,CALL,6
LGICUS01,LGICDB01,CALL,4
LGICUS01,LGSTSQ,CALL,6
LGIPDB01,LGSTSQ,CALL,6
LGIPOL01,LGIPDB01,CALL,4
LGIPOL01,LGSTSQ,CALL,6
LGTESTC1,LGACUS01,CALL,2
LGTESTC1,LGICUS01,CALL,4
LGTESTC1,LGUCUS01,CALL,2
LGTESTP1,LGAPOL01,CALL,2
LGTESTP1,LGDPOL01,CALL,2
LGTESTP1,LGIPOL01,CALL,4
LGTESTP1,LGUPOL01,CALL,2
LGTESTP2,LGAPOL01,CALL,2
LGTESTP2,LGDPOL01,CALL,2
LGTESTP2,LGIPOL01,CALL,4
LGTESTP2,LGUPOL01,CALL,2
LGTESTP3,LGAPOL01,CALL,2
LGTESTP3,LGDPOL01,CALL,2
LGTESTP3,LGIPOL01,CALL,4
LGTESTP3,LGUPOL01,CALL,2
LGTESTP4,LGAPOL01,CALL,2
LGTESTP4,LGDPOL01,CALL,2
LGTESTP4,LGIPOL01,CALL,2
LGUCDB01,LGSTSQ,CALL,6
LGUCDB01,LGUCVS01,CALL,4
LGUCUS01,LGSTSQ,CALL,6
LGUCUS01,LGUCDB01,CALL,4
LGUCVS01,LGSTSQ,CALL,6
LGUPDB01,LGSTSQ,CALL,6
LGUPDB01,LGUPVS01,CALL,4
LGUPOL01,LGSTSQ,CALL,6
LGUPOL01,LGUPDB01,CALL,4
LGUPVS01,LGSTSQ,CALL,6
