class,method,returnType,parameters
LGACDB01,main,void,
LGACDB02,main,void,
LGACUS01,main,void,
LGACVS01,main,void,
LGAPDB01,main,void,
LGAPOL01,main,void,
LGAPVS01,main,void,
LGASTAT1,main,void,
LGDPDB01,main,void,
LGDPOL01,main,void,
LGDPVS01,main,void,
LGICDB01,main,void,
LGICUS01,main,void,
LGICVS01,main,void,
LGIPDB01,main,void,
LGIPOL01,main,void,
LGIPVS01,main,void,
LGSETUP,main,void,
LGSTSQ,main,void,
LGTESTC1,main,void,
LGTESTP1,main,void,
LGTESTP2,main,void,
LGTESTP3,main,void,
LGTESTP4,main,void,
LGUCDB01,main,void,
LGUCUS01,main,void,
LGUCVS01,main,void,
LGUPDB01,main,void,
LGUPOL01,main,void,
LGUPVS01,main,void,
LGWEBST5,main,void,
