src,dst,type,weight
com.rafsan.inventory.controller.admin.AdminController,com.rafsan.inventory.model.ProductModel,FIELD,1
com.rafsan.inventory.controller.admin.AdminController,com.rafsan.inventory.model.InvoiceModel,FIELD,1
com.rafsan.inventory.controller.admin.AdminController,com.rafsan.inventory.model.InvoiceModel,CALL,2
com.rafsan.inventory.controller.admin.AdminController,com.rafsan.inventory.entity.Invoice,CALL,2
com.rafsan.inventory.controller.admin.AdminController,com.rafsan.inventory.model.ProductModel,CALL,3
com.rafsan.inventory.controller.admin.AdminController,com.rafsan.inventory.entity.Product,CALL,5
com.rafsan.inventory.controller.category.AddController,com.rafsan.inventory.interfaces.CategoryInterface,IMPLEMENTS,1
com.rafsan.inventory.controller.category.AddController,com.rafsan.inventory.model.CategoryModel,FIELD,1
com.rafsan.inventory.controller.category.AddController,com.rafsan.inventory.model.CategoryModel,CALL,3
com.rafsan.inventory.controller.category.CategoryController,com.rafsan.inventory.interfaces.CategoryInterface,IMPLEMENTS,1
com.rafsan.inventory.controller.category.CategoryController,com.rafsan.inventory.entity.Category,FIELD,3
com.rafsan.inventory.controller.category.CategoryController,com.rafsan.inventory.model.CategoryModel,FIELD,1
com.rafsan.inventory.controller.category.CategoryController,com.rafsan.inventory.model.CategoryModel,CALL,3
com.rafsan.inventory.controller.category.CategoryController,com.rafsan.inventory.controller.category.EditController,CALL,2
com.rafsan.inventory.controller.category.EditController,com.rafsan.inventory.interfaces.CategoryInterface,IMPLEMENTS,1
com.rafsan.inventory.controller.category.EditController,com.rafsan.inventory.model.CategoryModel,FIELD,1
com.rafsan.inventory.controller.category.EditController,com.rafsan.inventory.entity.Category,FIELD,1
com.rafsan.inventory.controller.category.EditController,com.rafsan.inventory.entity.Category,CALL,3
com.rafsan.inventory.controller.category.EditController,com.rafsan.inventory.model.CategoryModel,CALL,2
com.rafsan.inventory.controller.employee.AddController,com.rafsan.inventory.interfaces.EmployeeInterface,IMPLEMENTS,1
com.rafsan.inventory.controller.employee.AddController,com.rafsan.inventory.model.EmployeeModel,FIELD,1
com.rafsan.inventory.controller.employee.AddController,com.rafsan.inventory.model.EmployeeModel,CALL,3
com.rafsan.inventory.controller.employee.EditController,com.rafsan.inventory.interfaces.EmployeeInterface,IMPLEMENTS,1
com.rafsan.inventory.controller.employee.EditController,com.rafsan.inventory.model.EmployeeModel,FIELD,1
com.rafsan.inventory.controller.employee.EditController,com.rafsan.inventory.entity.Employee,FIELD,1
com.rafsan.inventory.controller.employee.EditController,com.rafsan.inventory.entity.Employee,CALL,7
com.rafsan.inventory.controller.employee.EditController,com.rafsan.inventory.model.EmployeeModel,CALL,2
com.rafsan.inventory.controller.employee.EmployeeController,com.rafsan.inventory.interfaces.EmployeeInterface,IMPLEMENTS,1
com.rafsan.inventory.controller.employee.EmployeeController,com.rafsan.inventory.entity.Employee,FIELD,3
