caller,callee,method,params,returns
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.entities.UserSession,getUserId,,int
net.jforum.repository.ForumRepository,net.jforum.SessionFacade,getUserSession,,net.jforum.entities.UserSession
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.repository.SecurityRepository,get,int,net.jforum.security.PermissionControl
net.jforum.repository.ForumRepository,net.jforum.entities.UserSession,getUserId,,int
net.jforum.repository.ForumRepository,net.jforum.SessionFacade,getUserSession,,net.jforum.entities.UserSession
net.jforum.repository.ForumRepository,net.jforum.security.PermissionControl,canAccess,java.lang.String;java.lang.String,boolean
net.jforum.repository.ForumRepository,net.jforum.repository.SecurityRepository,get,int,net.jforum.security.PermissionControl
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.dao.DataAccessDriver,newCategoryDAO,,net.jforum.dao.CategoryDAO
net.jforum.repository.ForumRepository,net.jforum.dao.DataAccessDriver,getInstance,,net.jforum.dao.DataAccessDriver
net.jforum.repository.ForumRepository,net.jforum.dao.DataAccessDriver,newForumDAO,,net.jforum.dao.ForumDAO
net.jforum.repository.ForumRepository,net.jforum.dao.DataAccessDriver,getInstance,,net.jforum.dao.DataAccessDriver
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getId,,int
net.jforum.repository.ForumRepository,net.jforum.entities.UserSession,getUserId,,int
net.jforum.repository.ForumRepository,net.jforum.SessionFacade,getUserSession,,net.jforum.entities.UserSession
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getOrder,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getId,,int
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getOrder,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,remove,java.lang.String;java.lang.String,void
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getId,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getId,,int
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getId,,int
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getId,,int
net.jforum.repository.ForumRepository,net.jforum.entities.Category,setOrder,int,void
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getOrder,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getId,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getId,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,getCategoryId,,int
net.jforum.repository.ForumRepository,net.jforum.entities.Category,addForum,net.jforum.entities.Forum,void
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,remove,java.lang.String;java.lang.String,void
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getId,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getId,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getId,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getForums,,java.util.Collection
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,getId,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getId,,int
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getForum,int,net.jforum.entities.Forum
net.jforum.repository.ForumRepository,net.jforum.entities.UserSession,getUserId,,int
net.jforum.repository.ForumRepository,net.jforum.SessionFacade,getUserSession,,net.jforum.entities.UserSession
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.entities.Category,getForum,int;int,net.jforum.entities.Forum
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,getCategoryId,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.entities.Category,addForum,net.jforum.entities.Forum,void
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,getId,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,getId,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,getCategoryId,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.entities.Category,removeForum,int,void
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,getId,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.dao.ForumDAO,selectById,int,net.jforum.entities.Forum
net.jforum.repository.ForumRepository,net.jforum.dao.DataAccessDriver,newForumDAO,,net.jforum.dao.ForumDAO
net.jforum.repository.ForumRepository,net.jforum.dao.DataAccessDriver,getInstance,,net.jforum.dao.DataAccessDriver
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,getCategoryId,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,setLastPostInfo,net.jforum.entities.LastPostInfo,void
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,setLastPostInfo,net.jforum.entities.LastPostInfo,void
net.jforum.repository.ForumRepository,net.jforum.entities.Category,reloadForum,net.jforum.entities.Forum,void
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,add,java.lang.String;java.lang.String;java.lang.Object,void
net.jforum.repository.ForumRepository,net.jforum.entities.Topic,getForumId,,int
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,get,java.lang.String;java.lang.String,java.lang.Object
net.jforum.repository.ForumRepository,net.jforum.entities.Topic,getForumId,,int
net.jforum.repository.ForumRepository,net.jforum.util.preferences.SystemGlobals,getValue,java.lang.String,java.lang.String
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,getLastPostInfo,,net.jforum.entities.LastPostInfo
net.jforum.repository.ForumRepository,net.jforum.entities.LastPostInfo,setPostId,int,void
net.jforum.repository.ForumRepository,net.jforum.entities.Post,getId,,int
net.jforum.repository.ForumRepository,net.jforum.entities.LastPostInfo,setPostDate,java.lang.String,void
net.jforum.repository.ForumRepository,net.jforum.entities.Post,getTime,,java.util.Date
net.jforum.repository.ForumRepository,net.jforum.entities.LastPostInfo,setPostTimeMillis,long,void
net.jforum.repository.ForumRepository,net.jforum.entities.Post,getTime,,java.util.Date
net.jforum.repository.ForumRepository,net.jforum.entities.LastPostInfo,setTopicId,int,void
net.jforum.repository.ForumRepository,net.jforum.entities.Topic,getId,,int
net.jforum.repository.ForumRepository,net.jforum.entities.LastPostInfo,setTopicReplies,int,void
net.jforum.repository.ForumRepository,net.jforum.entities.Topic,getTotalReplies,,int
net.jforum.repository.ForumRepository,net.jforum.entities.LastPostInfo,setUserId,int,void
net.jforum.repository.ForumRepository,net.jforum.entities.User,getId,,int
net.jforum.repository.ForumRepository,net.jforum.entities.LastPostInfo,setUsername,java.lang.String,void
net.jforum.repository.ForumRepository,net.jforum.entities.User,getUsername,,java.lang.String
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,setLastPostInfo,net.jforum.entities.LastPostInfo,void
net.jforum.repository.ForumRepository,net.jforum.entities.Topic,getTotalReplies,,int
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,setTotalTopics,int,void
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,getTotalTopics,,int
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,setTotalPosts,int,void
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,getTotalPosts,,int
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,getCategoryId,,int
net.jforum.repository.ForumRepository,net.jforum.entities.Category,reloadForum,net.jforum.entities.Forum,void
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,getLastPostInfo,,net.jforum.entities.LastPostInfo
net.jforum.repository.ForumRepository,net.jforum.entities.LastPostInfo,hasInfo,,boolean
