src,dst,type,weight
net.jforum.repository.ForumRepository,net.jforum.cache.Cacheable,IMPLEMENTS,1
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,FIELD,1
net.jforum.repository.ForumRepository,net.jforum.cache.CacheEngine,CALL,76
net.jforum.repository.ForumRepository,net.jforum.entities.UserSession,CALL,4
net.jforum.repository.ForumRepository,net.jforum.SessionFacade,CALL,4
net.jforum.repository.ForumRepository,net.jforum.repository.SecurityRepository,CALL,2
net.jforum.repository.ForumRepository,net.jforum.security.PermissionControl,CALL,1
net.jforum.repository.ForumRepository,net.jforum.dao.DataAccessDriver,CALL,18
net.jforum.repository.ForumRepository,net.jforum.entities.Category,CALL,27
net.jforum.repository.ForumRepository,net.jforum.entities.Forum,CALL,28
net.jforum.repository.ForumRepository,net.jforum.dao.ForumDAO,CALL,5
net.jforum.repository.ForumRepository,net.jforum.entities.Topic,CALL,5
net.jforum.repository.ForumRepository,net.jforum.util.preferences.SystemGlobals,CALL,1
net.jforum.repository.ForumRepository,net.jforum.entities.LastPostInfo,CALL,9
net.jforum.repository.ForumRepository,net.jforum.entities.Post,CALL,3
net.jforum.repository.ForumRepository,net.jforum.entities.User,CALL,2
net.jforum.repository.ForumRepository,net.jforum.dao.ConfigDAO,CALL,7
net.jforum.repository.ForumRepository,net.jforum.entities.Config,CALL,10
net.jforum.repository.ForumRepository,net.jforum.entities.MostUsersEverOnline,CALL,7
net.jforum.repository.ForumRepository,net.jforum.dao.UserDAO,CALL,2
net.jforum.repository.ForumRepository,net.jforum.dao.CategoryDAO,CALL,1
net.jforum.repository.ForumRepository,net.jforum.exceptions.CategoryNotFoundException,CALL,3
net.jforum.repository.ForumRepository,net.jforum.util.CategoryOrderComparator,CALL,3
net.jforum.repository.ForumRepository,net.jforum.exceptions.DatabaseException,CALL,1
net.jforum.repository.RankingRepository,net.jforum.cache.Cacheable,IMPLEMENTS,1
net.jforum.repository.RankingRepository,net.jforum.cache.CacheEngine,FIELD,1
net.jforum.repository.RankingRepository,net.jforum.dao.DataAccessDriver,CALL,2
net.jforum.repository.RankingRepository,net.jforum.cache.CacheEngine,CALL,4
net.jforum.repository.RankingRepository,net.jforum.dao.RankingDAO,CALL,1
net.jforum.repository.RankingRepository,net.jforum.entities.Ranking,CALL,11
net.jforum.repository.RankingRepository,net.jforum.exceptions.RankingLoadException,CALL,1
net.jforum.repository.RolesRepository,net.jforum.cache.Cacheable,IMPLEMENTS,1
net.jforum.repository.RolesRepository,net.jforum.cache.CacheEngine,FIELD,1
net.jforum.repository.RolesRepository,net.jforum.cache.CacheEngine,CALL,4
net.jforum.repository.RolesRepository,net.jforum.dao.generic.security.SecurityCommon,CALL,2
net.jforum.repository.SecurityRepository,net.jforum.cache.Cacheable,IMPLEMENTS,1
net.jforum.repository.SecurityRepository,net.jforum.cache.CacheEngine,FIELD,1
net.jforum.repository.SecurityRepository,net.jforum.cache.CacheEngine,CALL,7
net.jforum.repository.SecurityRepository,net.jforum.dao.DataAccessDriver,CALL,4
net.jforum.repository.SecurityRepository,net.jforum.dao.UserDAO,CALL,1
net.jforum.repository.SecurityRepository,net.jforum.entities.User,CALL,2
net.jforum.repository.SecurityRepository,net.jforum.security.PermissionControl,CALL,4
net.jforum.repository.SecurityRepository,net.jforum.dao.GroupSecurityDAO,CALL,1
net.jforum.repository.SecurityRepository,net.jforum.SessionFacade,CALL,1
net.jforum.repository.SecurityRepository,net.jforum.context.SessionContext,CALL,1
net.jforum.repository.SecurityRepository,net.jforum.context.RequestContext,CALL,1
net.jforum.repository.SecurityRepository,net.jforum.JForumExecutionContext,CALL,1
net.jforum.repository.SecurityRepository,net.jforum.entities.UserSession,CALL,3
net.jforum.repository.SecurityRepository,net.jforum.exceptions.SecurityLoadException,CALL,2
net.jforum.repository.SmiliesRepository,net.jforum.cache.Cacheable,IMPLEMENTS,1
net.jforum.repository.SmiliesRepository,net.jforum.cache.CacheEngine,FIELD,1
net.jforum.repository.SmiliesRepository,net.jforum.cache.CacheEngine,CALL,3
net.jforum.repository.SmiliesRepository,net.jforum.dao.SmilieDAO,CALL,1
net.jforum.repository.SmiliesRepository,net.jforum.dao.DataAccessDriver,CALL,2
net.jforum.repository.SmiliesRepository,net.jforum.util.preferences.SystemGlobals,CALL,1
net.jforum.repository.SmiliesRepository,net.jforum.entities.Smilie,CALL,2
net.jforum.repository.SmiliesRepository,net.jforum.exceptions.SmiliesLoadException,CALL,1
net.jforum.repository.ModulesRepository,net.jforum.ConfigLoader,CALL,1
net.jforum.repository.ModulesRepository,net.jforum.context.RequestContext,CALL,1
net.jforum.repository.ModulesRepository,net.jforum.JForumExecutionContext,CALL,1
net.jforum.repository.PostRepository,net.jforum.cache.Cacheable,IMPLEMENTS,1
net.jforum.repository.PostRepository,net.jforum.cache.CacheEngine,FIELD,1
net.jforum.repository.PostRepository,net.jforum.util.preferences.SystemGlobals,CALL,1
net.jforum.repository.PostRepository,net.jforum.cache.CacheEngine,CALL,14
net.jforum.repository.PostRepository,net.jforum.dao.DataAccessDriver,CALL,2
net.jforum.repository.PostRepository,net.jforum.dao.PostDAO,CALL,1
net.jforum.repository.PostRepository,net.jforum.view.forum.common.PostCommon,CALL,1
net.jforum.repository.PostRepository,net.jforum.entities.Post,CALL,2
net.jforum.repository.TopicRepository,net.jforum.cache.Cacheable,IMPLEMENTS,1
net.jforum.repository.TopicRepository,net.jforum.cache.CacheEngine,FIELD,1
net.jforum.repository.TopicRepository,net.jforum.util.preferences.SystemGlobals,CALL,13
net.jforum.repository.TopicRepository,net.jforum.cache.CacheEngine,CALL,23
net.jforum.repository.TopicRepository,net.jforum.dao.DataAccessDriver,CALL,4
net.jforum.repository.TopicRepository,net.jforum.dao.TopicDAO,CALL,2
