srcClass,srcMethod,dstClass,dstMethod
net.jforum.C3P0PooledConnection,extraParams,net.jforum.util.preferences.SystemGlobals,getValue
net.jforum.C3P0PooledConnection,getConnection,net.jforum.exceptions.DatabaseException,<init>
net.jforum.C3P0PooledConnection,init,net.jforum.DBConnection,releaseConnection
net.jforum.C3P0PooledConnection,init,net.jforum.util.preferences.SystemGlobals,getIntValue
net.jforum.C3P0PooledConnection,init,net.jforum.util.preferences.SystemGlobals,getValue
net.jforum.C3P0PooledConnection,realReleaseAllConnections,net.jforum.exceptions.DatabaseException,<init>
net.jforum.Command,process,net.jforum.JForumExecutionContext,getRedirectTo
net.jforum.Command,process,net.jforum.JForumExecutionContext,getTemplateConfig
net.jforum.Command,process,net.jforum.JForumExecutionContext,isCustomContent
net.jforum.Command,process,net.jforum.context.RequestContext,getAction
net.jforum.Command,process,net.jforum.context.RequestContext,getAttribute
net.jforum.Command,process,net.jforum.exceptions.ForumException,<init>
net.jforum.Command,process,net.jforum.exceptions.TemplateNotFoundException,<init>
net.jforum.Command,process,net.jforum.util.preferences.SystemGlobals,getApplicationPath
net.jforum.Command,process,net.jforum.util.preferences.SystemGlobals,getValue
net.jforum.Command,setTemplateName,net.jforum.context.RequestContext,isMobileRequest
net.jforum.Command,setTemplateName,net.jforum.repository.Tpl,name
net.jforum.ConfigLoader,createLoginAuthenticator,net.jforum.exceptions.ForumException,<init>
net.jforum.ConfigLoader,createLoginAuthenticator,net.jforum.util.preferences.SystemGlobals,getValue
net.jforum.ConfigLoader,createLoginAuthenticator,net.jforum.util.preferences.SystemGlobals,setObjectValue
net.jforum.ConfigLoader,listenForChanges,net.jforum.util.FileMonitor,addFileChangeListener
net.jforum.ConfigLoader,listenForChanges,net.jforum.util.FileMonitor,getInstance
net.jforum.ConfigLoader,listenForChanges,net.jforum.util.preferences.QueriesFileListener,<init>
net.jforum.ConfigLoader,listenForChanges,net.jforum.util.preferences.SystemGlobals,getIntValue
net.jforum.ConfigLoader,listenForChanges,net.jforum.util.preferences.SystemGlobals,getValue
net.jforum.ConfigLoader,listenForChanges,net.jforum.util.preferences.SystemGlobalsListener,<init>
net.jforum.ConfigLoader,loadDaoImplementation,net.jforum.dao.DataAccessDriver,init
net.jforum.ConfigLoader,loadDaoImplementation,net.jforum.exceptions.ForumException,<init>
net.jforum.ConfigLoader,loadDaoImplementation,net.jforum.util.preferences.SystemGlobals,getValue
net.jforum.ConfigLoader,loadModulesMapping,net.jforum.exceptions.ForumException,<init>
net.jforum.ConfigLoader,loadUrlPatterns,net.jforum.UrlPatternCollection,addPattern
net.jforum.ConfigLoader,loadUrlPatterns,net.jforum.exceptions.ForumException,<init>
net.jforum.ConfigLoader,loadUrlPatterns,net.jforum.util.preferences.SystemGlobals,getValue
net.jforum.ConfigLoader,startCacheEngine,net.jforum.cache.CacheEngine,init
net.jforum.ConfigLoader,startCacheEngine,net.jforum.cache.Cacheable,setCacheEngine
net.jforum.ConfigLoader,startCacheEngine,net.jforum.exceptions.CacheEngineStartupException,<init>
net.jforum.ConfigLoader,startCacheEngine,net.jforum.util.preferences.SystemGlobals,getValue
net.jforum.ConfigLoader,startPop3Integration,net.jforum.api.integration.mail.pop.POPJobStarter,startJob
net.jforum.ConfigLoader,startSearchIndexer,net.jforum.search.SearchFacade,init
net.jforum.ConfigLoader,startSummaryJob,net.jforum.summary.SummaryScheduler,startJob
net.jforum.ConfigLoader,startSystemglobals,net.jforum.util.preferences.SystemGlobals,initGlobals
net.jforum.ConfigLoader,stopCacheEngine,net.jforum.cache.CacheEngine,stop
net.jforum.ContextListener,contextDestroyed,net.jforum.util.stats.Stats,stop
net.jforum.ContextListener,contextInitialized,net.jforum.ConfigLoader,startSystemglobals
net.jforum.ContextListener,contextInitialized,net.jforum.util.log.LoggerHelper,checkLoggerInitialization
net.jforum.ContextListener,contextInitialized,net.jforum.util.preferences.SystemGlobals,setValue
net.jforum.ContextListener,contextInitialized,net.jforum.util.stats.Stats,init
net.jforum.ControllerUtils,addCookie,net.jforum.JForumExecutionContext,getResponse
net.jforum.ControllerUtils,addCookie,net.jforum.util.preferences.SystemGlobals,getValue
net.jforum.ControllerUtils,checkAutoLogin,net.jforum.dao.DataAccessDriver,getInstance
