class,method,returnType,parameters
net.jforum.api.integration.mail.pop.MessageId,getTopicId,int,
net.jforum.api.integration.mail.pop.MessageId,buildMessageId,java.lang.String,int;int;int
net.jforum.api.integration.mail.pop.MessageId,buildInReplyTo,java.lang.String,net.jforum.entities.Topic
net.jforum.api.integration.mail.pop.MessageId,parse,net.jforum.api.integration.mail.pop.MessageId,java.lang.String
net.jforum.api.integration.mail.pop.POPConnector,setMailIntegration,void,net.jforum.entities.MailIntegration
net.jforum.api.integration.mail.pop.POPConnector,listMessages,Message[],
net.jforum.api.integration.mail.pop.POPConnector,openConnection,void,
net.jforum.api.integration.mail.pop.POPConnector,closeConnection,void,java.util.Collection<java.lang.Integer>
net.jforum.api.integration.mail.pop.POPConnector,closeConnection,void,boolean;java.util.Collection<java.lang.Integer>
net.jforum.api.integration.mail.pop.POPConnector,markAllMessagesAsDeleted,void,java.util.Collection<java.lang.Integer>
net.jforum.api.integration.mail.pop.POPJobStarter,startJob,void,
net.jforum.api.integration.mail.pop.POPJobStarter,stopJob,void,
net.jforum.api.integration.mail.pop.POPListener,execute,void,JobExecutionContext
net.jforum.api.integration.mail.pop.POPListener,getConnector,net.jforum.api.integration.mail.pop.POPConnector,
net.jforum.api.integration.mail.pop.POPMessage,extract,void,Message
net.jforum.api.integration.mail.pop.POPMessage,processParts,void,java.lang.Object
net.jforum.api.integration.mail.pop.POPMessage,getListEmail,java.lang.String,
net.jforum.api.integration.mail.pop.POPMessage,getContentType,java.lang.String,
net.jforum.api.integration.mail.pop.POPMessage,getHeaders,java.util.Map<java.lang.String, java.lang.String>,
net.jforum.api.integration.mail.pop.POPMessage,getAttachments,java.util.ArrayList<net.jforum.api.integration.mail.pop.POPMessage.POPAttachment>,
net.jforum.api.integration.mail.pop.POPMessage,getInReplyTo,java.lang.String,
net.jforum.api.integration.mail.pop.POPMessage,getMessage,java.lang.String,
net.jforum.api.integration.mail.pop.POPMessage,getReferences,java.lang.String,
net.jforum.api.integration.mail.pop.POPMessage,getReplyTo,java.lang.String,
net.jforum.api.integration.mail.pop.POPMessage,getSendDate,java.util.Date,
net.jforum.api.integration.mail.pop.POPMessage,getSender,java.lang.String,
net.jforum.api.integration.mail.pop.POPMessage,getSubject,java.lang.String,
net.jforum.api.integration.mail.pop.POPMessage,setContentType,void,java.lang.String
net.jforum.api.integration.mail.pop.POPMessage,setHeaders,void,java.util.Map<java.lang.String, java.lang.String>
net.jforum.api.integration.mail.pop.POPMessage,setInReplyTo,void,java.lang.String
net.jforum.api.integration.mail.pop.POPMessage,setMessage,void,java.lang.Object
net.jforum.api.integration.mail.pop.POPMessage,setReferences,void,java.lang.String
net.jforum.api.integration.mail.pop.POPMessage,setReplyTo,void,java.lang.String
