caller,callee,method,params,returns
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart,containsItemId,java.lang.String,boolean
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart,incrementQuantityByItemId,java.lang.String,void
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.service.CatalogService,isItemInStock,java.lang.String,boolean
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.service.CatalogService,getItem,java.lang.String,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart,addItem,org.mybatis.jpetstore.domain.Item;boolean,void
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart,removeItemById,java.lang.String,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Item,getItemId,,java.lang.String
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.CartItem,getItem,,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart,<init>,,org.mybatis.jpetstore.domain.Cart
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart,<init>,,org.mybatis.jpetstore.domain.Cart
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order,getOrderId,,int
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order,setOrderId,int,void
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.service.OrderService,insertOrder,org.mybatis.jpetstore.domain.Order,void
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.service.OrderService,getOrder,int,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order,getOrderId,,int
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order,getUsername,,java.lang.String
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order,<init>,,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order,<init>,,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,getProductListByCategory,java.lang.String,java.util.List<org.mybatis.jpetstore.domain.Product>
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,getCategory,java.lang.String,org.mybatis.jpetstore.domain.Category
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,getItemListByProduct,java.lang.String,java.util.List<org.mybatis.jpetstore.domain.Item>
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,getProduct,java.lang.String,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,getItem,java.lang.String,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Item,getProduct,,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,searchProductList,java.lang.String,java.util.List<org.mybatis.jpetstore.domain.Product>
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account,getUsername,,java.lang.String
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account,setUsername,java.lang.String,void
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account,getPassword,,java.lang.String
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account,setPassword,java.lang.String,void
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.AccountService,insertAccount,org.mybatis.jpetstore.domain.Account,void
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.AccountService,getAccount,java.lang.String,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account,getUsername,,java.lang.String
