class,method,returnType,parameters
org.mybatis.jpetstore.domain.Account,getUsername,java.lang.String,
org.mybatis.jpetstore.domain.Account,setUsername,void,java.lang.String
org.mybatis.jpetstore.domain.Account,getPassword,java.lang.String,
org.mybatis.jpetstore.domain.Account,setPassword,void,java.lang.String
org.mybatis.jpetstore.domain.Account,getEmail,java.lang.String,
org.mybatis.jpetstore.domain.Account,setEmail,void,java.lang.String
org.mybatis.jpetstore.domain.Account,getFirstName,java.lang.String,
org.mybatis.jpetstore.domain.Account,setFirstName,void,java.lang.String
org.mybatis.jpetstore.domain.Account,getLastName,java.lang.String,
org.mybatis.jpetstore.domain.Account,setLastName,void,java.lang.String
org.mybatis.jpetstore.domain.Account,getStatus,java.lang.String,
org.mybatis.jpetstore.domain.Account,setStatus,void,java.lang.String
org.mybatis.jpetstore.domain.Account,getAddress1,java.lang.String,
org.mybatis.jpetstore.domain.Account,setAddress1,void,java.lang.String
org.mybatis.jpetstore.domain.Account,getAddress2,java.lang.String,
org.mybatis.jpetstore.domain.Account,setAddress2,void,java.lang.String
org.mybatis.jpetstore.domain.Account,getCity,java.lang.String,
org.mybatis.jpetstore.domain.Account,setCity,void,java.lang.String
org.mybatis.jpetstore.domain.Account,getState,java.lang.String,
org.mybatis.jpetstore.domain.Account,setState,void,java.lang.String
org.mybatis.jpetstore.domain.Account,getZip,java.lang.String,
org.mybatis.jpetstore.domain.Account,setZip,void,java.lang.String
org.mybatis.jpetstore.domain.Account,getCountry,java.lang.String,
org.mybatis.jpetstore.domain.Account,setCountry,void,java.lang.String
org.mybatis.jpetstore.domain.Account,getPhone,java.lang.String,
org.mybatis.jpetstore.domain.Account,setPhone,void,java.lang.String
org.mybatis.jpetstore.domain.Account,getFavouriteCategoryId,java.lang.String,
org.mybatis.jpetstore.domain.Account,setFavouriteCategoryId,void,java.lang.String
org.mybatis.jpetstore.domain.Account,getLanguagePreference,java.lang.String,
org.mybatis.jpetstore.domain.Account,setLanguagePreference,void,java.lang.String
org.mybatis.jpetstore.domain.Account,isListOption,boolean,
org.mybatis.jpetstore.domain.Account,setListOption,void,boolean
org.mybatis.jpetstore.domain.Account,isBannerOption,boolean,
org.mybatis.jpetstore.domain.Account,setBannerOption,void,boolean
org.mybatis.jpetstore.domain.Account,getBannerName,java.lang.String,
org.mybatis.jpetstore.domain.Account,setBannerName,void,java.lang.String
org.mybatis.jpetstore.domain.Cart,getCartItems,java.util.Iterator<org.mybatis.jpetstore.domain.CartItem>,
org.mybatis.jpetstore.domain.Cart,getCartItemList,java.util.List<org.mybatis.jpetstore.domain.CartItem>,
org.mybatis.jpetstore.domain.Cart,getNumberOfItems,int,
org.mybatis.jpetstore.domain.Cart,getAllCartItems,java.util.Iterator<org.mybatis.jpetstore.domain.CartItem>,
org.mybatis.jpetstore.domain.Cart,containsItemId,boolean,java.lang.String
org.mybatis.jpetstore.domain.Cart,addItem,void,org.mybatis.jpetstore.domain.Item;boolean
org.mybatis.jpetstore.domain.Cart,removeItemById,org.mybatis.jpetstore.domain.Item,java.lang.String
org.mybatis.jpetstore.domain.Cart,incrementQuantityByItemId,void,java.lang.String
org.mybatis.jpetstore.domain.Cart,setQuantityByItemId,void,java.lang.String;int
org.mybatis.jpetstore.domain.Cart,getSubTotal,java.math.BigDecimal,
org.mybatis.jpetstore.domain.CartItem,isInStock,boolean,
org.mybatis.jpetstore.domain.CartItem,setInStock,void,boolean
org.mybatis.jpetstore.domain.CartItem,getTotal,java.math.BigDecimal,
org.mybatis.jpetstore.domain.CartItem,getItem,org.mybatis.jpetstore.domain.Item,
org.mybatis.jpetstore.domain.CartItem,setItem,void,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.domain.CartItem,getQuantity,int,
org.mybatis.jpetstore.domain.CartItem,setQuantity,void,int
org.mybatis.jpetstore.domain.CartItem,incrementQuantity,void,
org.mybatis.jpetstore.domain.CartItem,calculateTotal,void,
org.mybatis.jpetstore.domain.Category,getCategoryId,java.lang.String,
org.mybatis.jpetstore.domain.Category,setCategoryId,void,java.lang.String
org.mybatis.jpetstore.domain.Category,getName,java.lang.String,
org.mybatis.jpetstore.domain.Category,setName,void,java.lang.String
org.mybatis.jpetstore.domain.Category,getDescription,java.lang.String,
org.mybatis.jpetstore.domain.Category,setDescription,void,java.lang.String
org.mybatis.jpetstore.domain.Category,toString,java.lang.String,
org.mybatis.jpetstore.domain.Item,getItemId,java.lang.String,
org.mybatis.jpetstore.domain.Item,setItemId,void,java.lang.String
org.mybatis.jpetstore.domain.Item,getQuantity,int,
org.mybatis.jpetstore.domain.Item,setQuantity,void,int
org.mybatis.jpetstore.domain.Item,getProduct,org.mybatis.jpetstore.domain.Product,
org.mybatis.jpetstore.domain.Item,setProduct,void,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.domain.Item,getSupplierId,int,
