caller,callee,method,params,returns
com.upachar.web.order.controller.OrderController,com.upachar.web.order.service.OrderService,findOrdersWithPaging,java.lang.Integer;java.lang.Integer,com.upachar.web.common.dto.PageDto
com.upachar.web.order.controller.OrderController,com.upachar.web.order.service.OrderService,findByUserId,java.lang.Long,java.util.List<com.upachar.web.order.domain.Order>
com.upachar.web.order.controller.OrderController,com.upachar.web.order.service.OrderService,updateOrder,java.lang.Long;com.upachar.web.order.dto.OrderUpdateDto,com.upachar.web.order.domain.Order
com.upachar.web.order.controller.OrderController,com.upachar.web.order.service.OrderService,deleteOrder,java.lang.Long,void
com.upachar.web.order.controller.OrderController,com.upachar.web.order.service.OrderService,updateOrderStatus,java.lang.Long;com.upachar.web.order.dto.OrderStatusDto,com.upachar.web.order.domain.Order
com.upachar.web.order.controller.OrderController,com.upachar.web.order.service.OrderService,findById,java.lang.Long,com.upachar.web.order.domain.Order
com.upachar.web.order.controller.OrderController,com.upachar.web.order.service.OrderService,reorderOrder,java.lang.Long;com.upachar.web.order.dto.OrderDto,com.upachar.web.order.domain.Order
com.upachar.web.order.service.DrugQuantityService,com.upachar.web.order.repository.DrugQuantityRepository,findByDrugId,java.lang.Long,java.util.List<com.upachar.web.order.domain.DrugQuantity>
com.upachar.web.order.service.OrderService,com.upachar.web.drug.service.DrugService,findById,java.lang.Long,com.upachar.web.drug.domain.Drug
com.upachar.web.order.service.OrderService,com.upachar.web.common.utils.CustomBeanUtils,copyNonNullProperties,java.lang.Object;java.lang.Object,void
com.upachar.web.order.service.OrderService,com.upachar.web.order.repository.OrderRepository,findByUserId,java.lang.Long,java.util.List<com.upachar.web.order.domain.Order>
com.upachar.web.order.service.OrderService,com.upachar.web.common.utils.CustomBeanUtils,copyNonNullProperties,java.lang.Object;java.lang.Object,void
com.upachar.web.order.service.OrderService,com.upachar.web.common.utils.CustomBeanUtils,copyNonNullProperties,java.lang.Object;java.lang.Object,void
com.upachar.web.order.service.OrderService,com.upachar.web.order.repository.DrugQuantityRepository,findByDrugId,java.lang.Long,java.util.List<com.upachar.web.order.domain.DrugQuantity>
