src,dst,type,weight
com.upachar.web.order.dto.OrderStatusDto,com.upachar.web.order.enums.OrderStatus,FIELD,1
com.upachar.web.order.controller.OrderController,com.upachar.web.order.service.OrderService,FIELD,1
com.upachar.web.order.controller.OrderController,com.upachar.web.order.service.OrderService,CALL,7
com.upachar.web.order.service.DrugQuantityService,com.upachar.web.order.repository.DrugQuantityRepository,FIELD,1
com.upachar.web.order.service.DrugQuantityService,com.upachar.web.order.repository.DrugQuantityRepository,CALL,1
com.upachar.web.order.service.OrderService,com.upachar.web.drug.service.DrugService,FIELD,1
com.upachar.web.order.service.OrderService,com.upachar.web.user.service.UserService,FIELD,1
com.upachar.web.order.service.OrderService,com.upachar.web.order.repository.OrderRepository,FIELD,1
com.upachar.web.order.service.OrderService,com.upachar.web.order.repository.DrugQuantityRepository,FIELD,1
com.upachar.web.order.service.OrderService,com.upachar.web.drug.service.DrugService,CALL,1
com.upachar.web.order.service.OrderService,com.upachar.web.common.utils.CustomBeanUtils,CALL,3
com.upachar.web.order.service.OrderService,com.upachar.web.order.repository.OrderRepository,CALL,3
com.upachar.web.order.service.OrderService,com.upachar.web.order.repository.DrugQuantityRepository,CALL,1
com.upachar.web.order.service.OrderService,com.upachar.web.order.domain.DrugQuantity,CALL,1
com.upachar.web.order.service.OrderService,com.upachar.web.order.domain.Order,CALL,2
com.upachar.web.order.service.OrderService,com.upachar.web.order.domain.OrderPrescription,CALL,2
com.upachar.web.order.service.OrderService,com.upachar.web.common.dto.PageDto,CALL,1
com.upachar.web.order.domain.Order,com.upachar.web.order.enums.OrderStatus,FIELD,1
com.upachar.web.order.domain.Order,com.upachar.web.order.domain.DrugQuantity,FIELD,1
com.upachar.web.order.domain.Order,com.upachar.web.order.domain.OrderPrescription,FIELD,1
com.upachar.web.order.domain.Order,com.upachar.web.user.domain.User,FIELD,1
com.upachar.web.order.domain.DrugQuantity,com.upachar.web.drug.domain.Drug,FIELD,1
com.upachar.web.UpacharWebApplication,com.upachar.web.user.service.UserService,FIELD,1
com.upachar.web.UpacharWebApplication,com.upachar.web.drug.service.DosageFormService,FIELD,1
com.upachar.web.UpacharWebApplication,com.upachar.web.user.service.UserService,CALL,2
com.upachar.web.UpacharWebApplication,com.upachar.web.drug.service.DosageFormService,CALL,2
com.upachar.web.UpacharWebApplication,com.upachar.web.user.domain.UserRole,CALL,2
com.upachar.web.UpacharWebApplication,com.upachar.web.drug.domain.DosageForm,CALL,16
com.upachar.web.config.security.AuthorizationServerConfiguration,com.upachar.web.config.security.CustomUserDetailsService,FIELD,1
com.upachar.web.config.security.AuthorizationServerConfiguration,com.upachar.web.config.security.CustomTokenEnhancer,FIELD,1
com.upachar.web.config.security.CustomUserDetailsService,com.upachar.web.user.repository.UserRepository,FIELD,1
com.upachar.web.config.security.CustomUserDetailsService,com.upachar.web.user.repository.UserRepository,CALL,1
com.upachar.web.config.security.CustomUserDetailsService,com.upachar.web.user.domain.UserRole,CALL,1
com.upachar.web.config.security.CustomTokenEnhancer,com.upachar.web.user.repository.UserRepository,FIELD,1
com.upachar.web.user.controller.UserController,com.upachar.web.user.service.UserService,FIELD,1
com.upachar.web.user.controller.UserController,com.upachar.web.user.service.UserService,CALL,7
com.upachar.web.user.service.UserService,com.upachar.web.user.repository.UserRepository,FIELD,1
com.upachar.web.user.service.UserService,com.upachar.web.order.service.OrderService,FIELD,1
com.upachar.web.user.service.UserService,com.upachar.web.user.repository.UserRepository,CALL,5
com.upachar.web.user.service.UserService,com.upachar.web.common.utils.CustomBeanUtils,CALL,4
com.upachar.web.user.service.UserService,com.upachar.web.order.service.OrderService,CALL,1
com.upachar.web.user.service.UserService,com.upachar.web.common.dto.PageDto,CALL,1
com.upachar.web.user.service.UserService,com.upachar.web.user.domain.User,CALL,2
com.upachar.web.user.service.UserService,com.upachar.web.user.domain.UserRole,CALL,2
com.upachar.web.user.domain.UserRole,com.upachar.web.user.enums.Role,FIELD,1
com.upachar.web.user.domain.User,com.upachar.web.user.domain.UserRole,FIELD,1
com.upachar.web.drug.controller.DrugController,com.upachar.web.drug.service.DrugService,FIELD,1
com.upachar.web.drug.controller.DrugController,com.upachar.web.drug.service.DrugService,CALL,10
com.upachar.web.drug.controller.CategoryController,com.upachar.web.drug.service.CategoryService,FIELD,1
com.upachar.web.drug.controller.CategoryController,com.upachar.web.drug.service.CategoryService,CALL,2
com.upachar.web.drug.controller.SubCategoryController,com.upachar.web.drug.service.SubCategoryService,FIELD,1
com.upachar.web.drug.controller.SubCategoryController,com.upachar.web.drug.service.SubCategoryService,CALL,4
com.upachar.web.drug.controller.DosageFormController,com.upachar.web.drug.service.DosageFormService,FIELD,1
com.upachar.web.drug.controller.DosageFormController,com.upachar.web.drug.service.DosageFormService,CALL,2
com.upachar.web.drug.service.SubCategoryService,com.upachar.web.drug.repository.SubCategoryRepository,FIELD,1
com.upachar.web.drug.service.SubCategoryService,com.upachar.web.drug.service.CategoryService,FIELD,1
com.upachar.web.drug.service.SubCategoryService,com.upachar.web.drug.service.DrugService,FIELD,1
com.upachar.web.drug.service.SubCategoryService,com.upachar.web.drug.service.CategoryService,CALL,1
com.upachar.web.drug.service.SubCategoryService,com.upachar.web.common.utils.CustomBeanUtils,CALL,1
com.upachar.web.drug.service.SubCategoryService,com.upachar.web.drug.repository.SubCategoryRepository,CALL,1
com.upachar.web.drug.service.SubCategoryService,com.upachar.web.drug.service.DrugService,CALL,1
com.upachar.web.drug.service.SubCategoryService,com.upachar.web.drug.domain.SubCategory,CALL,1
com.upachar.web.drug.service.DrugService,com.upachar.web.drug.repository.DrugRepository,FIELD,1
com.upachar.web.drug.service.DrugService,com.upachar.web.drug.service.SubCategoryService,FIELD,1
com.upachar.web.drug.service.DrugService,com.upachar.web.drug.service.DosageFormService,FIELD,1
com.upachar.web.drug.service.DrugService,com.upachar.web.order.service.OrderService,FIELD,1
com.upachar.web.drug.service.DrugService,com.upachar.web.common.utils.CustomBeanUtils,CALL,2
com.upachar.web.drug.service.DrugService,com.upachar.web.drug.repository.DrugRepository,CALL,5
com.upachar.web.drug.service.DrugService,com.upachar.web.order.service.OrderService,CALL,1
