class,method,returnType,parameters
com.upachar.web.common.dto.PageDto,getContent,java.util.List<?>,
com.upachar.web.common.dto.PageDto,setContent,void,java.util.List<?>
com.upachar.web.common.dto.PageDto,getPageElementCount,long,
com.upachar.web.common.dto.PageDto,setPageElementCount,void,long
com.upachar.web.common.dto.PageDto,getTotalElements,long,
com.upachar.web.common.dto.PageDto,setTotalElements,void,long
com.upachar.web.common.dto.PageDto,getTotalPages,long,
com.upachar.web.common.dto.PageDto,setTotalPages,void,long
com.upachar.web.common.utils.CustomBeanUtils,copyProperties,void,java.lang.Object;java.lang.Object
com.upachar.web.common.utils.CustomBeanUtils,copyNonNullProperties,void,java.lang.Object;java.lang.Object
com.upachar.web.common.utils.CustomBeanUtils,getNullPropertyNames,java.lang.String[],java.lang.Object
com.upachar.web.common.utils.CustomBeanUtils,checkIfAllFieldsAreNull,boolean,java.lang.Object
com.upachar.web.common.utils.CustomStringUtils,getImageNameFromUrl,java.lang.String,java.lang.String
com.upachar.web.common.utils.FileUtils,uploadImage,java.lang.String,MultipartFile;java.lang.String
com.upachar.web.common.utils.FileUtils,deleteImage,boolean,java.lang.String;java.lang.String
com.upachar.web.config.security.AuthorizationServerConfiguration,configure,void,AuthorizationServerSecurityConfigurer
com.upachar.web.config.security.AuthorizationServerConfiguration,configure,void,ClientDetailsServiceConfigurer
com.upachar.web.config.security.AuthorizationServerConfiguration,configure,void,AuthorizationServerEndpointsConfigurer
com.upachar.web.config.security.AuthorizationServerConfiguration,tokenStore,TokenStore,
com.upachar.web.config.security.CorsFilter,doFilter,void,ServletRequest;ServletResponse;FilterChain
com.upachar.web.config.security.CorsFilter,init,void,FilterConfig
com.upachar.web.config.security.CorsFilter,destroy,void,
com.upachar.web.config.security.CustomTokenEnhancer,enhance,OAuth2AccessToken,OAuth2AccessToken;OAuth2Authentication
com.upachar.web.config.security.CustomUserDetailsService,loadUserByUsername,UserDetails,java.lang.String
com.upachar.web.config.security.ResourceServerConfiguration,configure,void,ResourceServerSecurityConfigurer
com.upachar.web.config.security.ResourceServerConfiguration,configure,void,HttpSecurity
com.upachar.web.config.security.SecurityConfiguration,configure,void,HttpSecurity
com.upachar.web.config.security.SecurityConfiguration,authenticationManagerBean,AuthenticationManager,
com.upachar.web.config.security.SecurityConfiguration,passwordEncoder,PasswordEncoder,
com.upachar.web.config.swagger.SwaggerConfiguration,api,Docket,
com.upachar.web.config.swagger.SwaggerConfiguration,apiInfo,ApiInfo,
com.upachar.web.data.controller.DataController,loadData,java.lang.String,MultipartFile
com.upachar.web.data.service.DataService,loadDataFromFile,void,MultipartFile
com.upachar.web.data.service.DataService,getDosageForm,com.upachar.web.drug.domain.DosageForm,java.lang.String
com.upachar.web.drug.controller.CategoryController,addCategory,com.upachar.web.drug.domain.Category,com.upachar.web.drug.dto.CategoryDto;MultipartFile
com.upachar.web.drug.controller.CategoryController,getAllCategories,java.util.List<com.upachar.web.drug.domain.Category>,
com.upachar.web.drug.controller.CategoryController,deleteCategory,void,java.lang.Long
com.upachar.web.drug.controller.CategoryController,editCategory,com.upachar.web.drug.domain.Category,java.lang.Long;com.upachar.web.drug.dto.CategoryDto;MultipartFile
com.upachar.web.drug.controller.DosageFormController,addDosageForm,com.upachar.web.drug.domain.DosageForm,com.upachar.web.drug.dto.DosageFormDto
com.upachar.web.drug.controller.DosageFormController,getAllDosageForms,java.util.List<com.upachar.web.drug.domain.DosageForm>,
com.upachar.web.drug.controller.DrugController,addDrug,com.upachar.web.drug.domain.Drug,com.upachar.web.drug.dto.DrugDto;MultipartFile
com.upachar.web.drug.controller.DrugController,findDrugsWithPaging,com.upachar.web.common.dto.PageDto,java.lang.Integer;java.lang.Integer
