caller,callee,method,params,returns
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.jpa.BackOrder,getStatus,,java.lang.String
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.jpa.BackOrder,setQuantity,int,void
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.jpa.BackOrder,getQuantity,,int
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.jpa.Inventory,getInventoryId,,java.lang.String
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.jpa.BackOrder,getInventory,,com.ibm.websphere.samples.pbw.jpa.Inventory
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.jpa.BackOrder,getQuantity,,int
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.jpa.BackOrder,setQuantity,int,void
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.jpa.BackOrder,setStatus,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.jpa.BackOrder,setOrderDate,long,void
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.jpa.BackOrder,<init>,com.ibm.websphere.samples.pbw.jpa.Inventory;int,com.ibm.websphere.samples.pbw.jpa.BackOrder
com.ibm.websphere.samples.pbw.bean.CatalogMgr,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.CatalogMgr,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.CatalogMgr,com.ibm.websphere.samples.pbw.jpa.Inventory,getInventoryId,,java.lang.String
com.ibm.websphere.samples.pbw.bean.CatalogMgr,com.ibm.websphere.samples.pbw.jpa.Inventory,getImgbytes,,byte[]
com.ibm.websphere.samples.pbw.bean.CatalogMgr,com.ibm.websphere.samples.pbw.jpa.Inventory,setImgbytes,byte[],void
com.ibm.websphere.samples.pbw.bean.CatalogMgr,com.ibm.websphere.samples.pbw.jpa.Inventory,setQuantity,int,void
com.ibm.websphere.samples.pbw.bean.CustomerMgr,com.ibm.websphere.samples.pbw.jpa.Customer,setFirstName,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.CustomerMgr,com.ibm.websphere.samples.pbw.jpa.Customer,setLastName,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.CustomerMgr,com.ibm.websphere.samples.pbw.jpa.Customer,setAddr1,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.CustomerMgr,com.ibm.websphere.samples.pbw.jpa.Customer,setAddr2,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.CustomerMgr,com.ibm.websphere.samples.pbw.jpa.Customer,setAddrCity,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.CustomerMgr,com.ibm.websphere.samples.pbw.jpa.Customer,setAddrState,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.CustomerMgr,com.ibm.websphere.samples.pbw.jpa.Customer,setAddrZip,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.CustomerMgr,com.ibm.websphere.samples.pbw.jpa.Customer,setPhone,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.CustomerMgr,com.ibm.websphere.samples.pbw.jpa.Customer,verifyPassword,java.lang.String,boolean
com.ibm.websphere.samples.pbw.bean.CustomerMgr,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.CustomerMgr,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.CustomerMgr,com.ibm.websphere.samples.pbw.jpa.Customer,<init>,java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String,com.ibm.websphere.samples.pbw.jpa.Customer
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.jpa.Order,getShipName,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.jpa.Order,getShipAddr1,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.jpa.Order,getShipAddr2,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.jpa.Order,getShipCity,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.jpa.Order,getShipState,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.jpa.Order,getShipZip,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.jpa.Customer,getCustomerID,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.bean.EMailMessage,getEmailReceiver,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.bean.EMailMessage,getSubject,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.bean.EMailMessage,getHtmlContents,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.bean.EMailMessage,getEmailReceiver,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.bean.EMailMessage,getSubject,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.bean.EMailMessage,getHtmlContents,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.bean.EMailMessage,getEmailReceiver,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.bean.EMailMessage,getSubject,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.bean.EMailMessage,getHtmlContents,,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.utils.Util,debug,java.lang.String,void
