src,dst,type,weight
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.utils.Util,CALL,10
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.jpa.BackOrder,CALL,9
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,com.ibm.websphere.samples.pbw.jpa.Inventory,CALL,1
com.ibm.websphere.samples.pbw.bean.CatalogMgr,com.ibm.websphere.samples.pbw.utils.Util,CALL,2
com.ibm.websphere.samples.pbw.bean.CatalogMgr,com.ibm.websphere.samples.pbw.jpa.Inventory,CALL,4
com.ibm.websphere.samples.pbw.bean.CustomerMgr,com.ibm.websphere.samples.pbw.jpa.Customer,CALL,10
com.ibm.websphere.samples.pbw.bean.CustomerMgr,com.ibm.websphere.samples.pbw.utils.Util,CALL,2
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.utils.Util,CALL,6
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.jpa.Order,CALL,6
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.jpa.Customer,CALL,1
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.bean.EMailMessage,CALL,10
com.ibm.websphere.samples.pbw.bean.MailerBean,com.ibm.websphere.samples.pbw.bean.MailerAppException,CALL,1
com.ibm.websphere.samples.pbw.bean.PopulateDBBean,com.ibm.websphere.samples.pbw.bean.ResetDBBean,FIELD,1
com.ibm.websphere.samples.pbw.bean.PopulateDBBean,com.ibm.websphere.samples.pbw.utils.Util,CALL,1
com.ibm.websphere.samples.pbw.bean.PopulateDBBean,com.ibm.websphere.samples.pbw.bean.ResetDBBean,CALL,1
com.ibm.websphere.samples.pbw.bean.ResetDBBean,com.ibm.websphere.samples.pbw.bean.CatalogMgr,FIELD,1
com.ibm.websphere.samples.pbw.bean.ResetDBBean,com.ibm.websphere.samples.pbw.bean.CustomerMgr,FIELD,1
com.ibm.websphere.samples.pbw.bean.ResetDBBean,com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,FIELD,1
com.ibm.websphere.samples.pbw.bean.ResetDBBean,com.ibm.websphere.samples.pbw.bean.BackOrderMgr,FIELD,1
com.ibm.websphere.samples.pbw.bean.ResetDBBean,com.ibm.websphere.samples.pbw.bean.SuppliersBean,FIELD,1
com.ibm.websphere.samples.pbw.bean.ResetDBBean,com.ibm.websphere.samples.pbw.utils.Util,CALL,91
com.ibm.websphere.samples.pbw.bean.ResetDBBean,com.ibm.websphere.samples.pbw.bean.CatalogMgr,CALL,2
com.ibm.websphere.samples.pbw.bean.ResetDBBean,com.ibm.websphere.samples.pbw.bean.CustomerMgr,CALL,1
com.ibm.websphere.samples.pbw.bean.ResetDBBean,com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,CALL,1
com.ibm.websphere.samples.pbw.bean.ResetDBBean,com.ibm.websphere.samples.pbw.bean.BackOrderMgr,CALL,1
com.ibm.websphere.samples.pbw.bean.ResetDBBean,com.ibm.websphere.samples.pbw.bean.SuppliersBean,CALL,1
com.ibm.websphere.samples.pbw.bean.ResetDBBean,com.ibm.websphere.samples.pbw.jpa.Inventory,CALL,1
com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,com.ibm.websphere.samples.pbw.jpa.Inventory,FIELD,1
com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,com.ibm.websphere.samples.pbw.jpa.Inventory,CALL,24
com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,com.ibm.websphere.samples.pbw.utils.Util,CALL,3
com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,com.ibm.websphere.samples.pbw.jpa.OrderItem,CALL,4
com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,com.ibm.websphere.samples.pbw.jpa.BackOrder,CALL,3
com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,com.ibm.websphere.samples.pbw.jpa.Order,CALL,1
com.ibm.websphere.samples.pbw.bean.ShoppingCartContent,com.ibm.websphere.samples.pbw.jpa.Inventory,CALL,5
com.ibm.websphere.samples.pbw.bean.SuppliersBean,com.ibm.websphere.samples.pbw.utils.Util,CALL,10
com.ibm.websphere.samples.pbw.bean.SuppliersBean,com.ibm.websphere.samples.pbw.jpa.Supplier,CALL,8
com.ibm.websphere.samples.pbw.jpa.BackOrder,com.ibm.websphere.samples.pbw.jpa.Inventory,FIELD,1
com.ibm.websphere.samples.pbw.jpa.BackOrder,com.ibm.websphere.samples.pbw.utils.Util,CALL,1
com.ibm.websphere.samples.pbw.jpa.Inventory,com.ibm.websphere.samples.pbw.jpa.BackOrder,FIELD,1
com.ibm.websphere.samples.pbw.jpa.Inventory,com.ibm.websphere.samples.pbw.utils.Util,CALL,1
com.ibm.websphere.samples.pbw.jpa.Order,com.ibm.websphere.samples.pbw.jpa.Customer,FIELD,1
com.ibm.websphere.samples.pbw.jpa.Order,com.ibm.websphere.samples.pbw.jpa.OrderItem,FIELD,1
com.ibm.websphere.samples.pbw.jpa.Order,com.ibm.websphere.samples.pbw.jpa.OrderItem,CALL,4
com.ibm.websphere.samples.pbw.jpa.OrderItem,com.ibm.websphere.samples.pbw.jpa.OrderItem.PK,FIELD,1
com.ibm.websphere.samples.pbw.jpa.OrderItem,com.ibm.websphere.samples.pbw.jpa.Inventory,FIELD,1
com.ibm.websphere.samples.pbw.jpa.OrderItem,com.ibm.websphere.samples.pbw.jpa.Order,FIELD,1
com.ibm.websphere.samples.pbw.jpa.OrderItem,com.ibm.websphere.samples.pbw.utils.Util,CALL,7
com.ibm.websphere.samples.pbw.jpa.OrderItem,com.ibm.websphere.samples.pbw.jpa.Inventory,CALL,9
com.ibm.websphere.samples.pbw.jpa.OrderItem,com.ibm.websphere.samples.pbw.jpa.Order,CALL,3
