srcClass,srcMethod,dstClass,dstMethod
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,createBackOrder,com.ibm.websphere.samples.pbw.jpa.BackOrder,<init>
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,createBackOrder,com.ibm.websphere.samples.pbw.jpa.BackOrder,getQuantity
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,createBackOrder,com.ibm.websphere.samples.pbw.jpa.BackOrder,getStatus
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,createBackOrder,com.ibm.websphere.samples.pbw.jpa.BackOrder,setQuantity
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,createBackOrder,com.ibm.websphere.samples.pbw.utils.Util,debug
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,deleteBackOrder,com.ibm.websphere.samples.pbw.utils.Util,debug
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,getBackOrderInventoryID,com.ibm.websphere.samples.pbw.jpa.BackOrder,getInventory
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,getBackOrderInventoryID,com.ibm.websphere.samples.pbw.jpa.Inventory,getInventoryId
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,getBackOrderInventoryID,com.ibm.websphere.samples.pbw.utils.Util,debug
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,getBackOrderQuantity,com.ibm.websphere.samples.pbw.jpa.BackOrder,getQuantity
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,getBackOrderQuantity,com.ibm.websphere.samples.pbw.utils.Util,debug
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,setBackOrderOrderDate,com.ibm.websphere.samples.pbw.jpa.BackOrder,setOrderDate
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,setBackOrderOrderDate,com.ibm.websphere.samples.pbw.utils.Util,debug
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,setBackOrderQuantity,com.ibm.websphere.samples.pbw.jpa.BackOrder,setQuantity
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,setBackOrderQuantity,com.ibm.websphere.samples.pbw.utils.Util,debug
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,setBackOrderStatus,com.ibm.websphere.samples.pbw.jpa.BackOrder,setStatus
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,setBackOrderStatus,com.ibm.websphere.samples.pbw.utils.Util,debug
