class,method,returnType,parameters
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,createBackOrder,void,java.lang.String;int;int
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,findBackOrders,java.util.Collection<com.ibm.websphere.samples.pbw.jpa.BackOrder>,
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,deleteBackOrder,void,java.lang.String
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,updateStock,void,java.lang.String;int
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,getBackOrderInventoryID,java.lang.String,java.lang.String
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,getBackOrderQuantity,int,java.lang.String
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,setBackOrderQuantity,void,java.lang.String;int
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,setBackOrderStatus,void,java.lang.String;java.lang.String
com.ibm.websphere.samples.pbw.bean.BackOrderMgr,setBackOrderOrderDate,void,java.lang.String
com.ibm.websphere.samples.pbw.bean.CatalogMgr,getItemsByCategory,java.util.Vector<com.ibm.websphere.samples.pbw.jpa.Inventory>,int
com.ibm.websphere.samples.pbw.bean.CatalogMgr,getItemInventory,com.ibm.websphere.samples.pbw.jpa.Inventory,java.lang.String
com.ibm.websphere.samples.pbw.bean.CatalogMgr,addItem,boolean,com.ibm.websphere.samples.pbw.jpa.Inventory
com.ibm.websphere.samples.pbw.bean.CatalogMgr,getItemImageBytes,byte[],java.lang.String
com.ibm.websphere.samples.pbw.bean.CatalogMgr,setItemImageBytes,void,java.lang.String;byte[]
com.ibm.websphere.samples.pbw.bean.CatalogMgr,setItemQuantity,void,java.lang.String;int
com.ibm.websphere.samples.pbw.bean.CatalogMgr,getInv,com.ibm.websphere.samples.pbw.jpa.Inventory,java.lang.String
com.ibm.websphere.samples.pbw.bean.CatalogMgr,getInvUpdate,com.ibm.websphere.samples.pbw.jpa.Inventory,java.lang.String
com.ibm.websphere.samples.pbw.bean.CustomerMgr,createCustomer,com.ibm.websphere.samples.pbw.jpa.Customer,java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String
com.ibm.websphere.samples.pbw.bean.CustomerMgr,getCustomer,com.ibm.websphere.samples.pbw.jpa.Customer,java.lang.String
com.ibm.websphere.samples.pbw.bean.CustomerMgr,updateUser,com.ibm.websphere.samples.pbw.jpa.Customer,java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String
com.ibm.websphere.samples.pbw.bean.CustomerMgr,verifyUserAndPassword,java.lang.String,java.lang.String;java.lang.String
com.ibm.websphere.samples.pbw.bean.EMailMessage,getSubject,java.lang.String,
com.ibm.websphere.samples.pbw.bean.EMailMessage,getEmailReceiver,java.lang.String,
com.ibm.websphere.samples.pbw.bean.EMailMessage,getHtmlContents,java.lang.String,
com.ibm.websphere.samples.pbw.bean.EMailMessage,toString,java.lang.String,
com.ibm.websphere.samples.pbw.bean.MailerBean,createMessage,java.lang.String,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,createSubjectLine,java.lang.String,java.lang.String
com.ibm.websphere.samples.pbw.bean.MailerBean,createAndSendMail,void,com.ibm.websphere.samples.pbw.jpa.Customer;java.lang.String
com.ibm.websphere.samples.pbw.bean.PopulateDBBean,initDB,void,
com.ibm.websphere.samples.pbw.bean.ResetDBBean,resetDB,void,
com.ibm.websphere.samples.pbw.bean.ResetDBBean,addImage,void,java.lang.String;java.lang.String;com.ibm.websphere.samples.pbw.bean.CatalogMgr
com.ibm.websphere.samples.pbw.bean.ResetDBBean,populateDB,void,
com.ibm.websphere.samples.pbw.bean.ResetDBBean,deleteAll,void,
com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,addItem,void,com.ibm.websphere.samples.pbw.jpa.Inventory
com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,removeItem,void,com.ibm.websphere.samples.pbw.jpa.Inventory
com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,removeAllItems,void,
com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,removeZeroQuantityItems,void,
com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,getItems,java.util.ArrayList<com.ibm.websphere.samples.pbw.jpa.Inventory>,
com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,setItems,void,java.util.Collection<com.ibm.websphere.samples.pbw.jpa.Inventory>
com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,getSubtotalCost,float,
com.ibm.websphere.samples.pbw.bean.ShoppingCartBean,checkInventory,void,com.ibm.websphere.samples.pbw.jpa.Inventory
