src,dst,type,weight
org.pos.project.possystem.controller.AdminDashBoardController,org.pos.project.possystem.util.SessionManager,CALL,1
org.pos.project.possystem.controller.LoginAndRegistrationController,org.pos.project.possystem.util.UserType,FIELD,1
org.pos.project.possystem.controller.LoginAndRegistrationController,org.pos.project.possystem.util.UserType,CALL,1
org.pos.project.possystem.controller.LoginAndRegistrationController,org.pos.project.possystem.util.CommonMethod,CALL,9
org.pos.project.possystem.controller.LoginAndRegistrationController,org.pos.project.possystem.model.UserModel,CALL,3
org.pos.project.possystem.controller.LoginAndRegistrationController,org.pos.project.possystem.exception.UserNotFound,CALL,1
org.pos.project.possystem.controller.LoginAndRegistrationController,org.pos.project.possystem.exception.UserEmailExsist,CALL,1
org.pos.project.possystem.controller.PlaceOrderController,org.pos.project.possystem.tm.Cart,FIELD,2
org.pos.project.possystem.controller.PlaceOrderController,org.pos.project.possystem.model.PlaceOrderModel,CALL,4
org.pos.project.possystem.controller.PlaceOrderController,org.pos.project.possystem.util.CommonMethod,CALL,7
org.pos.project.possystem.controller.PlaceOrderController,org.pos.project.possystem.model.ProductModel,CALL,1
org.pos.project.possystem.controller.ProductDetailsController,org.pos.project.possystem.tm.Product,FIELD,2
org.pos.project.possystem.controller.ProductDetailsController,org.pos.project.possystem.model.ProductModel,CALL,2
org.pos.project.possystem.controller.StockController,org.pos.project.possystem.tm.ProductStock,FIELD,2
org.pos.project.possystem.controller.StockController,org.pos.project.possystem.model.ProductStockModel,CALL,2
org.pos.project.possystem.controller.StockController,org.pos.project.possystem.util.CommonMethod,CALL,1
org.pos.project.possystem.controller.SupplierController,org.pos.project.possystem.tm.Supplier,FIELD,1
org.pos.project.possystem.controller.SupplierController,org.pos.project.possystem.model.SupplierModel,CALL,3
org.pos.project.possystem.controller.SupplierController,org.pos.project.possystem.dto.SupplierDTO,CALL,2
org.pos.project.possystem.controller.SupplierController,org.pos.project.possystem.tm.Supplier,CALL,1
org.pos.project.possystem.dto.TransactionDTO,org.pos.project.possystem.dto.OrderDetailsDTO,FIELD,1
org.pos.project.possystem.model.PlaceOrderModel,org.pos.project.possystem.db.DataBaseConnection,CALL,8
org.pos.project.possystem.model.ProductModel,org.pos.project.possystem.db.DataBaseConnection,CALL,12
org.pos.project.possystem.model.ProductStockModel,org.pos.project.possystem.db.DataBaseConnection,CALL,12
org.pos.project.possystem.model.SupplierModel,org.pos.project.possystem.db.DataBaseConnection,CALL,10
org.pos.project.possystem.model.SupplierModel,org.pos.project.possystem.dto.SupplierDTO,CALL,2
org.pos.project.possystem.model.UserModel,org.pos.project.possystem.tm.User,FIELD,1
org.pos.project.possystem.model.UserModel,org.pos.project.possystem.db.DataBaseConnection,CALL,4
org.pos.project.possystem.model.UserModel,org.pos.project.possystem.exception.UserEmailExsist,CALL,1
org.pos.project.possystem.model.UserModel,org.pos.project.possystem.tm.Admin,CALL,1
org.pos.project.possystem.model.UserModel,org.pos.project.possystem.exception.UserNotFound,CALL,2
org.pos.project.possystem.tm.Admin,org.pos.project.possystem.tm.User,EXTENDS,1
org.pos.project.possystem.tm.Cashier,org.pos.project.possystem.tm.User,EXTENDS,1
org.pos.project.possystem.tm.User,org.pos.project.possystem.util.UserType,FIELD,1
org.pos.project.possystem.util.SessionManager,org.pos.project.possystem.tm.User,FIELD,1
