src,dst,type,weight
org.apache.roller.planet.business.AbstractManagerImpl,org.apache.roller.planet.business.Manager,IMPLEMENTS,1
org.apache.roller.planet.business.BootstrapException,org.apache.roller.RollerException,EXTENDS,1
org.apache.roller.planet.business.fetcher.FetcherException,org.apache.roller.RollerException,EXTENDS,1
org.apache.roller.planet.business.fetcher.FetcherException,org.apache.roller.RollerException,CALL,6
org.apache.roller.planet.business.fetcher.RomeFeedFetcher,org.apache.roller.planet.business.fetcher.FeedFetcher,IMPLEMENTS,1
org.apache.roller.planet.business.fetcher.RomeFeedFetcher,org.apache.roller.planet.pojos.Subscription,CALL,14
org.apache.roller.planet.business.fetcher.RomeFeedFetcher,org.apache.roller.planet.pojos.SubscriptionEntry,CALL,10
org.apache.roller.planet.business.InitializationException,org.apache.roller.RollerException,EXTENDS,1
org.apache.roller.planet.business.jpa.JPAPlanetImpl,org.apache.roller.planet.business.AbstractManagerImpl,EXTENDS,1
org.apache.roller.planet.business.jpa.JPAPlanetImpl,org.apache.roller.planet.business.Planet,IMPLEMENTS,1
org.apache.roller.planet.business.jpa.JPAPlanetImpl,org.apache.roller.weblogger.business.jpa.JPAPersistenceStrategy,FIELD,1
org.apache.roller.planet.business.jpa.JPAPlanetImpl,org.apache.roller.planet.business.PlanetManager,FIELD,1
org.apache.roller.planet.business.jpa.JPAPlanetImpl,org.apache.roller.weblogger.business.PropertiesManager,FIELD,1
org.apache.roller.planet.business.jpa.JPAPlanetImpl,org.apache.roller.planet.business.PlanetURLStrategy,FIELD,1
org.apache.roller.planet.business.jpa.JPAPlanetImpl,org.apache.roller.planet.business.fetcher.FeedFetcher,FIELD,1
org.apache.roller.planet.business.jpa.JPAPlanetImpl,org.apache.roller.weblogger.business.PropertiesManager,CALL,1
org.apache.roller.planet.business.jpa.JPAPlanetImpl,org.apache.roller.planet.business.Manager,CALL,1
org.apache.roller.planet.business.jpa.JPAPlanetImpl,org.apache.roller.weblogger.business.jpa.JPAPersistenceStrategy,CALL,2
org.apache.roller.planet.business.jpa.JPAPlanetImpl,org.apache.roller.weblogger.business.InitializationException,CALL,1
org.apache.roller.planet.business.jpa.JPAPlanetManagerImpl,org.apache.roller.planet.business.AbstractManagerImpl,EXTENDS,1
org.apache.roller.planet.business.jpa.JPAPlanetManagerImpl,org.apache.roller.planet.business.PlanetManager,IMPLEMENTS,1
org.apache.roller.planet.business.jpa.JPAPlanetManagerImpl,org.apache.roller.weblogger.business.jpa.JPAPersistenceStrategy,FIELD,1
org.apache.roller.planet.business.jpa.JPAPlanetManagerImpl,org.apache.roller.weblogger.business.jpa.JPAPersistenceStrategy,CALL,29
org.apache.roller.planet.business.jpa.JPAPlanetManagerImpl,org.apache.roller.planet.pojos.Subscription,CALL,5
org.apache.roller.planet.business.jpa.JPAPlanetManagerImpl,org.apache.roller.planet.pojos.Planet,CALL,4
org.apache.roller.planet.business.jpa.JPAPlanetManagerImpl,org.apache.roller.planet.pojos.PlanetGroup,CALL,5
org.apache.roller.planet.business.jpa.JPAPlanetManagerImpl,org.apache.roller.weblogger.WebloggerException,CALL,4
org.apache.roller.planet.business.MultiPlanetURLStrategy,org.apache.roller.planet.business.PlanetURLStrategy,IMPLEMENTS,1
org.apache.roller.planet.business.MultiPlanetURLStrategy,org.apache.roller.weblogger.config.WebloggerRuntimeConfig,CALL,1
org.apache.roller.planet.business.PlanetManager,org.apache.roller.planet.business.Manager,EXTENDS,1
org.apache.roller.planet.business.updater.SingleThreadedFeedUpdater,org.apache.roller.planet.business.updater.FeedUpdater,IMPLEMENTS,1
org.apache.roller.planet.business.updater.SingleThreadedFeedUpdater,org.apache.roller.planet.pojos.Subscription,CALL,25
org.apache.roller.planet.business.updater.SingleThreadedFeedUpdater,org.apache.roller.weblogger.business.Weblogger,CALL,5
org.apache.roller.planet.business.updater.SingleThreadedFeedUpdater,org.apache.roller.weblogger.business.WebloggerFactory,CALL,5
