src,dst,type,weight
org.springframework.samples.petclinic.model.NamedEntity,org.springframework.samples.petclinic.model.BaseEntity,EXTENDS,1
org.springframework.samples.petclinic.model.Person,org.springframework.samples.petclinic.model.BaseEntity,EXTENDS,1
org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.model.Person,EXTENDS,1
org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner.Pet,FIELD,1
org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.model.BaseEntity,CALL,6
org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.model.NamedEntity,CALL,1
org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.model.Person,CALL,2
org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner.Pet,CALL,1
org.springframework.samples.petclinic.owner.OwnerController,org.springframework.samples.petclinic.owner.OwnerRepository,FIELD,1
org.springframework.samples.petclinic.owner.OwnerController,org.springframework.samples.petclinic.owner.OwnerRepository,CALL,2
org.springframework.samples.petclinic.owner.OwnerController,org.springframework.samples.petclinic.model.BaseEntity,CALL,4
org.springframework.samples.petclinic.owner.OwnerController,org.springframework.samples.petclinic.model.Person,CALL,1
org.springframework.samples.petclinic.owner.OwnerController,org.springframework.samples.petclinic.owner.Owner,CALL,1
org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.model.NamedEntity,EXTENDS,1
org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.owner.PetType,FIELD,1
org.springframework.samples.petclinic.owner.Pet,org.springframework.samples.petclinic.owner.Visit,FIELD,1
org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.owner.OwnerRepository,FIELD,1
org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.owner.PetTypeRepository,FIELD,1
org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.owner.PetTypeRepository,CALL,1
org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.owner.OwnerRepository,CALL,2
org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.owner.Owner,CALL,7
org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.model.NamedEntity,CALL,5
org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.model.BaseEntity,CALL,4
org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.owner.Pet,CALL,10
org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.owner.PetValidator,CALL,1
org.springframework.samples.petclinic.owner.PetType,org.springframework.samples.petclinic.model.NamedEntity,EXTENDS,1
org.springframework.samples.petclinic.owner.PetTypeFormatter,org.springframework.samples.petclinic.owner.PetTypeRepository,FIELD,1
org.springframework.samples.petclinic.owner.PetTypeFormatter,org.springframework.samples.petclinic.model.NamedEntity,CALL,2
org.springframework.samples.petclinic.owner.PetTypeFormatter,org.springframework.samples.petclinic.owner.PetTypeRepository,CALL,1
org.springframework.samples.petclinic.owner.PetValidator,org.springframework.samples.petclinic.model.NamedEntity,CALL,1
org.springframework.samples.petclinic.owner.PetValidator,org.springframework.samples.petclinic.model.BaseEntity,CALL,1
org.springframework.samples.petclinic.owner.PetValidator,org.springframework.samples.petclinic.owner.Pet,CALL,2
org.springframework.samples.petclinic.owner.Visit,org.springframework.samples.petclinic.model.BaseEntity,EXTENDS,1
org.springframework.samples.petclinic.owner.VisitController,org.springframework.samples.petclinic.owner.OwnerRepository,FIELD,1
org.springframework.samples.petclinic.owner.VisitController,org.springframework.samples.petclinic.owner.OwnerRepository,CALL,1
org.springframework.samples.petclinic.owner.VisitController,org.springframework.samples.petclinic.owner.Owner,CALL,2
org.springframework.samples.petclinic.owner.VisitController,org.springframework.samples.petclinic.owner.Pet,CALL,1
org.springframework.samples.petclinic.owner.VisitController,org.springframework.samples.petclinic.owner.Visit,CALL,3
org.springframework.samples.petclinic.vet.Specialty,org.springframework.samples.petclinic.model.NamedEntity,EXTENDS,1
org.springframework.samples.petclinic.vet.Vet,org.springframework.samples.petclinic.model.Person,EXTENDS,1
org.springframework.samples.petclinic.vet.Vet,org.springframework.samples.petclinic.vet.Specialty,FIELD,1
org.springframework.samples.petclinic.vet.VetController,org.springframework.samples.petclinic.vet.VetRepository,FIELD,1
org.springframework.samples.petclinic.vet.VetController,org.springframework.samples.petclinic.vet.Vets,CALL,2
org.springframework.samples.petclinic.vet.Vets,org.springframework.samples.petclinic.vet.Vet,FIELD,1
