class,method,returnType,parameters
org.springframework.samples.petclinic.model.BaseEntity,getId,java.lang.Integer,
org.springframework.samples.petclinic.model.BaseEntity,setId,void,java.lang.Integer
org.springframework.samples.petclinic.model.BaseEntity,isNew,boolean,
org.springframework.samples.petclinic.model.NamedEntity,getName,java.lang.String,
org.springframework.samples.petclinic.model.NamedEntity,setName,void,java.lang.String
org.springframework.samples.petclinic.model.NamedEntity,toString,java.lang.String,
org.springframework.samples.petclinic.model.Person,getFirstName,java.lang.String,
org.springframework.samples.petclinic.model.Person,setFirstName,void,java.lang.String
org.springframework.samples.petclinic.model.Person,getLastName,java.lang.String,
org.springframework.samples.petclinic.model.Person,setLastName,void,java.lang.String
org.springframework.samples.petclinic.owner.Owner,getAddress,java.lang.String,
org.springframework.samples.petclinic.owner.Owner,setAddress,void,java.lang.String
org.springframework.samples.petclinic.owner.Owner,getCity,java.lang.String,
org.springframework.samples.petclinic.owner.Owner,setCity,void,java.lang.String
org.springframework.samples.petclinic.owner.Owner,getTelephone,java.lang.String,
org.springframework.samples.petclinic.owner.Owner,setTelephone,void,java.lang.String
org.springframework.samples.petclinic.owner.Owner,getPets,java.util.List<org.springframework.samples.petclinic.owner.Pet>,
org.springframework.samples.petclinic.owner.Owner,addPet,void,org.springframework.samples.petclinic.owner.Pet
org.springframework.samples.petclinic.owner.Owner,getPet,org.springframework.samples.petclinic.owner.Pet,java.lang.String
org.springframework.samples.petclinic.owner.Owner,getPet,org.springframework.samples.petclinic.owner.Pet,java.lang.Integer
org.springframework.samples.petclinic.owner.Owner,getPet,org.springframework.samples.petclinic.owner.Pet,java.lang.String;boolean
org.springframework.samples.petclinic.owner.Owner,toString,java.lang.String,
org.springframework.samples.petclinic.owner.Owner,addVisit,void,java.lang.Integer;org.springframework.samples.petclinic.owner.Visit
org.springframework.samples.petclinic.owner.OwnerController,setAllowedFields,void,WebDataBinder
org.springframework.samples.petclinic.owner.OwnerController,findOwner,org.springframework.samples.petclinic.owner.Owner,java.lang.Integer
org.springframework.samples.petclinic.owner.OwnerController,initCreationForm,java.lang.String,
org.springframework.samples.petclinic.owner.OwnerController,processCreationForm,java.lang.String,org.springframework.samples.petclinic.owner.Owner;BindingResult;RedirectAttributes
org.springframework.samples.petclinic.owner.OwnerController,initFindForm,java.lang.String,
org.springframework.samples.petclinic.owner.OwnerController,processFindForm,java.lang.String,int;org.springframework.samples.petclinic.owner.Owner;BindingResult;Model
org.springframework.samples.petclinic.owner.OwnerController,addPaginationModel,java.lang.String,int;Model;Page<Owner>
org.springframework.samples.petclinic.owner.OwnerController,findPaginatedForOwnersLastName,Page<Owner>,int;java.lang.String
org.springframework.samples.petclinic.owner.OwnerController,initUpdateOwnerForm,java.lang.String,
org.springframework.samples.petclinic.owner.OwnerController,processUpdateOwnerForm,java.lang.String,org.springframework.samples.petclinic.owner.Owner;BindingResult;int;RedirectAttributes
org.springframework.samples.petclinic.owner.OwnerController,showOwner,ModelAndView,int
org.springframework.samples.petclinic.owner.OwnerRepository,findByLastNameStartingWith,Page<Owner>,java.lang.String;Pageable
org.springframework.samples.petclinic.owner.OwnerRepository,findById,java.util.Optional<org.springframework.samples.petclinic.owner.Owner>,java.lang.Integer
org.springframework.samples.petclinic.owner.Pet,setBirthDate,void,java.time.LocalDate
org.springframework.samples.petclinic.owner.Pet,getBirthDate,java.time.LocalDate,
org.springframework.samples.petclinic.owner.Pet,getType,org.springframework.samples.petclinic.owner.PetType,
org.springframework.samples.petclinic.owner.Pet,setType,void,org.springframework.samples.petclinic.owner.PetType
org.springframework.samples.petclinic.owner.Pet,getVisits,java.util.Collection<org.springframework.samples.petclinic.owner.Visit>,
org.springframework.samples.petclinic.owner.Pet,addVisit,void,org.springframework.samples.petclinic.owner.Visit
org.springframework.samples.petclinic.owner.PetController,populatePetTypes,java.util.Collection<org.springframework.samples.petclinic.owner.PetType>,
org.springframework.samples.petclinic.owner.PetController,findOwner,org.springframework.samples.petclinic.owner.Owner,int
org.springframework.samples.petclinic.owner.PetController,findPet,org.springframework.samples.petclinic.owner.Pet,int;java.lang.Integer
org.springframework.samples.petclinic.owner.PetController,initOwnerBinder,void,WebDataBinder
org.springframework.samples.petclinic.owner.PetController,initPetBinder,void,WebDataBinder
org.springframework.samples.petclinic.owner.PetController,initCreationForm,java.lang.String,org.springframework.samples.petclinic.owner.Owner;ModelMap
org.springframework.samples.petclinic.owner.PetController,processCreationForm,java.lang.String,org.springframework.samples.petclinic.owner.Owner;org.springframework.samples.petclinic.owner.Pet;BindingResult;RedirectAttributes
org.springframework.samples.petclinic.owner.PetController,initUpdateForm,java.lang.String,
org.springframework.samples.petclinic.owner.PetController,processUpdateForm,java.lang.String,org.springframework.samples.petclinic.owner.Owner;org.springframework.samples.petclinic.owner.Pet;BindingResult;RedirectAttributes
org.springframework.samples.petclinic.owner.PetController,updatePetDetails,void,org.springframework.samples.petclinic.owner.Owner;org.springframework.samples.petclinic.owner.Pet
org.springframework.samples.petclinic.owner.PetTypeFormatter,print,java.lang.String,org.springframework.samples.petclinic.owner.PetType;java.util.Locale
org.springframework.samples.petclinic.owner.PetTypeFormatter,parse,org.springframework.samples.petclinic.owner.PetType,java.lang.String;java.util.Locale
org.springframework.samples.petclinic.owner.PetTypeRepository,findPetTypes,java.util.List<org.springframework.samples.petclinic.owner.PetType>,
org.springframework.samples.petclinic.owner.PetValidator,validate,void,java.lang.Object;Errors
org.springframework.samples.petclinic.owner.PetValidator,supports,boolean,java.lang.Class<?>
org.springframework.samples.petclinic.owner.Visit,getDate,java.time.LocalDate,
org.springframework.samples.petclinic.owner.Visit,setDate,void,java.time.LocalDate
org.springframework.samples.petclinic.owner.Visit,getDescription,java.lang.String,
org.springframework.samples.petclinic.owner.Visit,setDescription,void,java.lang.String
org.springframework.samples.petclinic.owner.VisitController,setAllowedFields,void,WebDataBinder
org.springframework.samples.petclinic.owner.VisitController,loadPetWithVisit,org.springframework.samples.petclinic.owner.Visit,int;int;java.util.Map<java.lang.String, java.lang.Object>
org.springframework.samples.petclinic.owner.VisitController,minVisitDate,java.time.LocalDate,
org.springframework.samples.petclinic.owner.VisitController,initNewVisitForm,java.lang.String,
org.springframework.samples.petclinic.owner.VisitController,processNewVisitForm,java.lang.String,org.springframework.samples.petclinic.owner.Owner;int;org.springframework.samples.petclinic.owner.Visit;BindingResult;RedirectAttributes
org.springframework.samples.petclinic.PetClinicApplication,main,void,java.lang.String[]
org.springframework.samples.petclinic.PetClinicRuntimeHints,registerHints,void,RuntimeHints;java.lang.ClassLoader
org.springframework.samples.petclinic.system.CacheConfiguration,petclinicCacheConfigurationCustomizer,JCacheManagerCustomizer,
org.springframework.samples.petclinic.system.CacheConfiguration,cacheConfiguration,javax.cache.configuration.Configuration<Object,Object>,
org.springframework.samples.petclinic.system.CrashController,triggerException,java.lang.String,
org.springframework.samples.petclinic.system.WebConfiguration,localeResolver,LocaleResolver,
org.springframework.samples.petclinic.system.WebConfiguration,localeChangeInterceptor,LocaleChangeInterceptor,
org.springframework.samples.petclinic.system.WebConfiguration,addInterceptors,void,InterceptorRegistry
