caller,callee,method,params,returns
org.services.analysis.TraceTranslator,org.services.analysis.Clock,isSrc,java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String,boolean
org.services.analysis.TraceTranslator,org.services.analysis.Clock,getClock,,java.util.HashMap<java.lang.String, java.lang.Integer>
org.services.analysis.TraceTranslator,org.services.analysis.Span,addLog,java.util.HashMap<java.lang.String, java.lang.String>,void
org.services.analysis.TraceTranslator,org.services.analysis.Span,addLog,java.util.HashMap<java.lang.String, java.lang.String>,void
org.services.analysis.TraceTranslator,org.services.analysis.Span,getParentId,,java.lang.String
org.services.analysis.TraceTranslator,org.services.analysis.Span,getSpanname,,java.lang.String
org.services.analysis.TraceTranslator,org.services.analysis.Span,getParentId,,java.lang.String
org.services.analysis.TraceTranslator,org.services.analysis.Span,getLogs,,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>
org.services.analysis.TraceTranslator,org.services.analysis.Span,getLogs,,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>
org.services.analysis.TraceTranslator,org.services.analysis.Span,getSpanId,,java.lang.String
org.services.analysis.TraceTranslator,org.services.analysis.Span,setChilds,java.util.List<java.lang.String>,void
org.services.analysis.TraceTranslator,org.services.analysis.Span,getSpanId,,java.lang.String
org.services.analysis.TraceTranslator,org.services.analysis.Span,getChilds,,java.util.List<java.lang.String>
org.services.analysis.TraceTranslator,org.services.analysis.Span,getLogs,,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>
org.services.analysis.TraceTranslator,org.services.analysis.Span,getChilds,,java.util.List<java.lang.String>
org.services.analysis.TraceTranslator,org.services.analysis.Span,getChilds,,java.util.List<java.lang.String>
org.services.analysis.TraceTranslator,org.services.analysis.Span,getLogs,,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>
org.services.analysis.TraceTranslator,org.services.analysis.Span,getLogs,,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>
org.services.analysis.TraceTranslator,org.services.analysis.Span,<init>,java.lang.String;java.lang.String;java.lang.String;java.lang.String,org.services.analysis.Span
org.services.analysis.TraceTranslator,org.services.analysis.Clock,<init>,java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.util.HashMap<java.lang.String, java.lang.Integer>,org.services.analysis.Clock
org.services.analysis.TraceTranslator,org.services.analysis.Clock,<init>,java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.util.HashMap<java.lang.String, java.lang.Integer>,org.services.analysis.Clock
org.myproject.ms.monitoring.antn.DefaultSpanCreator,org.myproject.ms.monitoring.util.ItemNameUtil,toLowerHyphen,java.lang.String,java.lang.String
org.myproject.ms.monitoring.antn.DefaultSpanCreator,org.myproject.ms.monitoring.ItemAccessor,isTracing,,boolean
org.myproject.ms.monitoring.antn.DefaultSpanCreator,org.myproject.ms.monitoring.Chainer,createSpan,java.lang.String;org.myproject.ms.monitoring.Item,org.myproject.ms.monitoring.Item
org.myproject.ms.monitoring.antn.DefaultSpanCreator,org.myproject.ms.monitoring.ItemAccessor,getCurrentSpan,,org.myproject.ms.monitoring.Item
org.myproject.ms.monitoring.antn.DefaultSpanCreator,org.myproject.ms.monitoring.Chainer,createSpan,java.lang.String,org.myproject.ms.monitoring.Item
org.myproject.ms.monitoring.antn.SleuthAdvisorConfig,org.myproject.ms.monitoring.antn.SleuthAdvisorConfig.AnnotationMethodsResolver,hasAnnotatedMethods,java.lang.Class<?>,boolean
org.myproject.ms.monitoring.antn.SleuthAdvisorConfig,org.myproject.ms.monitoring.antn.SleuthInterceptor,<init>,,org.myproject.ms.monitoring.antn.SleuthInterceptor
org.myproject.ms.monitoring.antn.SleuthAdvisorConfig,org.myproject.ms.monitoring.antn.SleuthAdvisorConfig.AnnotationClassOrMethodOrArgsPointcut,<init>,,org.myproject.ms.monitoring.antn.SleuthAdvisorConfig.AnnotationClassOrMethodOrArgsPointcut
