class,method,returnType,parameters
org.services.analysis.AggregateAllCases,main,void,java.lang.String[]
org.services.analysis.AggregateAllCases,getTestCaseDirList,java.util.ArrayList<java.io.File>,java.lang.String
org.services.analysis.AggregateAllCases,getListFiles,java.util.ArrayList<java.io.File>,java.lang.Object
org.services.analysis.AggregateEachCase,main,void,java.lang.String[]
org.services.analysis.AggregateEachCase,getTestCaseDirList,java.util.ArrayList<java.io.File>,java.lang.String
org.services.analysis.AggregateEachCase,getListFiles,java.util.ArrayList<java.io.File>,java.lang.Object
org.services.analysis.App,getGreeting,java.lang.String,
org.services.analysis.CalculateEventAndNode,main,void,java.lang.String[]
org.services.analysis.CallAnalysis,main,void,java.lang.String[]
org.services.analysis.CallAnalysis,readFile,java.lang.String,java.lang.String
org.services.analysis.Clock,getClock,java.util.HashMap<java.lang.String, java.lang.Integer>,
org.services.analysis.Clock,isSrc,boolean,java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String
org.services.analysis.Span,addLog,void,java.util.HashMap<java.lang.String, java.lang.String>
org.services.analysis.Span,getLogs,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>,
org.services.analysis.Span,getTraceId,java.lang.String,
org.services.analysis.Span,getSpanId,java.lang.String,
org.services.analysis.Span,getParentId,java.lang.String,
org.services.analysis.Span,getChilds,java.util.List<java.lang.String>,
org.services.analysis.Span,setChilds,void,java.util.List<java.lang.String>
org.services.analysis.Span,addChild,void,java.lang.String
org.services.analysis.Span,getSpanname,java.lang.String,
org.services.analysis.Span,setSpanname,void,java.lang.String
org.services.analysis.Test,main,void,java.lang.String[]
org.services.analysis.Test,getTestCaseDirList,java.util.ArrayList<java.io.File>,java.lang.String
org.services.analysis.TraceTranslator,main,void,java.lang.String[]
org.services.analysis.TraceTranslator,getFileName,java.lang.String,java.lang.String
org.services.analysis.TraceTranslator,getTestCaseDirList,java.util.ArrayList<java.io.File>,java.lang.String
org.services.analysis.TraceTranslator,getListFiles,java.util.ArrayList<java.io.File>,java.lang.Object
org.services.analysis.TraceTranslator,sortListByTime,java.util.List<java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>>,java.util.List<java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>>
org.services.analysis.TraceTranslator,findSrcClock,java.util.HashMap<java.lang.String, java.lang.Integer>,java.util.List<org.services.analysis.Clock>;java.lang.String;java.lang.String;java.lang.String;java.lang.String;java.lang.String
org.services.analysis.TraceTranslator,sortLog,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>
org.services.analysis.TraceTranslator,setChilds,void,java.util.HashMap<java.lang.String, java.util.List<java.lang.String>>;org.services.analysis.Span;java.util.HashMap<java.lang.String, org.services.analysis.Span>
org.services.analysis.TraceTranslator,traverse,void,org.services.analysis.Span;java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>;java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>;java.util.HashMap<java.lang.String, org.services.analysis.Span>
org.services.analysis.TraceTranslator,mergeChildLogLists,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>,java.util.List<java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>>
org.services.analysis.TraceTranslator,findEarliest,java.util.HashMap<java.lang.String, java.lang.String>,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>;java.util.List<java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>>
org.services.analysis.TraceTranslator,compareLog,boolean,java.util.HashMap<java.lang.String, java.lang.String>;java.util.HashMap<java.lang.String, java.lang.String>;java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>;java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>
org.services.analysis.TraceTranslator,mergeForwardAndBackwardLogs,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>;java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>
org.services.analysis.TraceTranslator,clock2,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>
org.services.analysis.TraceTranslator,clock,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>,java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>
org.services.analysis.TraceTranslator,readFile,java.lang.String,java.lang.String
org.services.analysis.TraceTranslator,write,boolean,java.lang.String;java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>
org.services.analysis.TraceTranslator,writeFile,boolean,java.lang.String;java.util.List<java.util.List<java.util.HashMap<java.lang.String, java.lang.String>>>;java.lang.String;java.lang.String;int
org.myproject.ms.monitoring.antn.DefaultSpanCreator,createSpan,org.myproject.ms.monitoring.Item,MethodInvocation;org.myproject.ms.monitoring.antn.NewSpan
org.myproject.ms.monitoring.antn.DefaultSpanCreator,createSpan,org.myproject.ms.monitoring.Item,java.lang.String
org.myproject.ms.monitoring.antn.NoOpTagValueResolver,resolve,java.lang.String,java.lang.Object
org.myproject.ms.monitoring.antn.SleuthAdvisorConfig,init,void,
org.myproject.ms.monitoring.antn.SleuthAdvisorConfig,setBeanFactory,void,BeanFactory
org.myproject.ms.monitoring.antn.SleuthAdvisorConfig,getClassFilter,ClassFilter,
org.myproject.ms.monitoring.antn.SleuthAdvisorConfig,getInterfaces,java.lang.Class<?>[],
org.myproject.ms.monitoring.antn.SleuthAdvisorConfig,validateInterfaces,void,
org.myproject.ms.monitoring.antn.SleuthAdvisorConfig,getAdvice,Advice,
org.myproject.ms.monitoring.antn.SleuthAdvisorConfig,getPointcut,Pointcut,
org.myproject.ms.monitoring.antn.SleuthAdvisorConfig,buildAdvice,Advice,
org.myproject.ms.monitoring.antn.SleuthAdvisorConfig,buildPointcut,Pointcut,
